code,name,major,minor
AED,"درهم الإمارات العربية المتحدة",درهم,فلس
AFN,"الأفغان الأفغاني",أفغاني,بول
ALL,"ليك ألباني",ليك,كينداركي
AMD,"درام أرمني",درهم,لمى
AOA,"كوانزا أنغولي",كوانزا,سينتيموس
ARS,"بيزو أرجنتيني",بيزو,سنتافو
AUD,"دولار استرالي",دولار,سنت
AWG,"فلورن أروبي",فلورين,سنت
AZN,"مانات أذربيجان",مانات,قبيك
BAM,"مارك البوسنة",مارك,فينينج
BBD,"الدولار البربادوسي",دولار,سنت
BDT,"تاكا بنغلاديشي",تاكا,بويشا
BGN,"ليف بلغاري",ليف,ستوتينكي
BHD,"دينار بحريني",دينار,فلس
BIF,"فرنك بوروندي",فرنك,سنت
BMD,"الدولار البرمودي",دولار,سنت
BND,"دولار بروناي",دولار,سنت
BOB,"البوليفيانو البوليفي",بوليفيانو,سنتافو
BRL,"ريال برازيلي",حقيقة,سنتافو
BSD,"الدولار البهامي",دولار,سنت
BTC,بيتكوين,بيتكوين,"ملي بيتكوين"
BTN,"نغولتروم بوتاني",نولترم,شرتوم
BWP,"بوتسوانا بولا",بولا,ويكون
BYR,"روبل بيلاروسي",روبل,كابيكا
BZD,"الدولار البليزي",دولار,سنت
CAD,"الدولار الكندي",دولار,سنت
CDF,"الفرنك الكونغولي",فرنك,سنتيم
CHF,"الفرنك السويسري",فرنك,رابن
CLP,"بيزو تشيلي",بيزو,سنتافو
CNY,"اليوان الصيني",يوان,فين
COP,"البيزو الكولومبي",بيزو,سنتافو
CRC,"كولون كوستاريكي",كولون,سينتيمو
CUP,"البيزو الكوبي",بيزو,سنتافو
CVE,"إيسكودو جزر الرأس الأخضر",اسكودو,سنتافو
CZK,"كرونة جمهورية التشيك",كورونا,هاليو
DJF,"فرنك جيبوتي",فرنك,سنت
DKK,"كرونة دنماركية",كرونر,كرونر
DOP,"بيزو دومنيكاني",بيزو,سنتافو
DZD,"الدينار الجزائري",دينار,سانتييم
EGP,"الجنية المصري",جنيه,قرش
