code,name,major,minor
AED,アラブ首長国連邦ディルハム,ディルハム,フィルス
AFN,アフガニスタン・アフガニ,アフガニ,プル
ALL,アルバニア・レク,レク,キンダルク
AMD,アルメニア・ドラム,ドラム,ルマ
AOA,アンゴラ・クワンザ,クワンザ,センティモ
ARS,アルゼンチン・ペソ,ペソ,センタボ
AUD,オーストラリア・ドル,ドル,セント
AWG,アルバ・フロリン,フロリン,セント
AZN,アゼルバイジャン・マナト,マナト,ケピク
BAM,ボスニア・ヘルツェゴビナ・コンバーチブルマルク,コンバーチブルマルク,フェニン
BBD,バルバドス・ドル,ドル,セント
BDT,バングラデシュ・タカ,タカ,ポイシャ
BGN,ブルガリア・レフ,レフ,ストティンキ
BHD,バーレーン・ディナール,ディナール,フィルス
BIF,ブルンジ・フラン,フラン,サンチーム
BMD,バミューダ・ドル,ドル,セント
BND,ブルネイ・ドル,ドル,セント
BOB,ボリビア・ボリビアーノ,ボリビアーノ,センタボ
BRL,ブラジル・レアル,レアル,センタボ
BSD,バハマ・ドル,ドル,セント
BTC,ビットコイン,ビットコイン,ミリビットコイン
BTN,ブータン・ニュルタム,ニュルタム,チェルトゥム
BWP,ボツワナ・プラ,プラ,テベ
BYR,ベラルーシ・ルーブル,ルーブル,カペイカ
BZD,ベリーズ・ドル,ドル,セント
CAD,カナダ・ドル,ドル,セント
CDF,コンゴ・フラン,フラン,サンチーム
CHF,スイス・フラン,フラン,ラッペン
CLP,チリ・ペソ,ペソ,センタボ
CNY,中国人民元,元,フェン
COP,コロンビア・ペソ,ペソ,センタボ
CRC,コスタリカ・コロン,コロン,ペンス
CUP,キューバ・ペソ,ペソ,センタボ
CVE,カーボベルデ・エスクード,エスクード,センタボ
CZK,チェコ・コルナ,コルナ,ハレル
DJF,ジブチ・フラン,フラン,サンチーム
DKK,デンマーク・クローネ,クローネ,クローネ
DOP,ドミニカ・ペソ,ペソ,センタボ
DZD,アルジェリア・ディナール,ディナール,サンティーム
EGP,エジプト・ポンド,ポンド,ピアストル
