code,name,major,minor
AED,"Дирхам ОАЭ",дирхам,филс
AFN,Афгани,афгани,пул
ALL,"Албанский лек",лек,киндарка
AMD,"Армянский драм",драм,лума
AOA,"Ангольская кванза",кванза,сентимо
ARS,"Аргентинское песо",песо,сентаво
AUD,"Австралийский доллар",доллар,цент
AWG,"Арубанский флорин",флорин,цент
AZN,"Азербайджанский манат",манат,кепик
BAM,"Боснийская конвертируемая марка",марка,фенинг
BBD,"Барбадосский доллар",доллар,цент
BDT,"Бангладешская така",така,пойша
BGN,"Болгарский лев",лев,стотинка
BHD,"Бахрейнский динар",динар,филс
BIF,"Бурундийский франк",франк,сантим
BMD,"Бермудский доллар",доллар,цент
BND,"Брунейский доллар",доллар,цент
BOB,"Боливийский боливиано",боливиано,сентаво
BRL,"Бразильский реал",реал,сентаво
BSD,"Багамский доллар",доллар,цент
BTC,Биткоин,биткоин,миллибиткоин
BTN,Нгултрум,нгултрум,чхертум
BWP,"Пула Ботсваны",пула,тебе
BYR,"Белорусский рубль",рубль,копейка
BZD,"Белизский доллар",доллар,цент
CAD,"Канадский доллар",доллар,цент
CDF,"Конголезский франк",франк,сантим
CHF,"Швейцарский франк",франк,раппен
CLP,"Чилийское песо",песо,сентаво
CNY,"Китайский юань",юань,фэнь
COP,"Колумбийское песо",песо,сентаво
CRC,"Костариканский колон",колон,сентаво
CUP,"Кубинское песо",песо,сентаво
CVE,"Эскудо Кабо-Верде",эскудо,сентаво
CZK,"Чешская крона",крона,галер
DJF,"Джибутийский франк",франк,сантим
DKK,"Датская крона",крона,эре
DOP,"Доминиканское песо",песо,сентаво
DZD,"Алжирский динар",динар,сантим
EGP,"Египетский фунт",фунт,пиастр
ERN,"Эритрейская накфа",накфа,цент
ETB,"Эфиопский быр",быр,сантим
ETH,Эфириум,эфир,гвей
EUR,Евро,евро,цент
FJD,"Доллар Фиджи",доллар,цент
FKP,"Фунт Фолклендских островов",фунт,пенс
GBP,"Британский фунт стерлингов",фунт,пенс
GEL,"Грузинский лари",лари,тэтри
GHS,"Ганский седи",седи,песева
GIP,"Гибралтарский фунт",фунт,пенс
GMD,Даласи,даласи,бутут
GNF,"Гвинейский франк",франк,сантим
GTQ,"Гватемальский кетсаль",кетсаль,сентаво
GYD,"Гайанский доллар",доллар,цент
HKD,"Гонконгский доллар",доллар,цент
HNL,"Гондурасская лемпира",лемпира,сентаво
HRK,"Хорватская куна",куна,липа
HTG,"Гурд Гаити",гурд,сантим
HUF,"Венгерский форинт",форинт,филлер
IDR,"Индонезийская рупия",рупия,сен
ILS,"Новый израильский шекель",шекель,агорот
INR,"Индийская рупия",рупия,пайса
IQD,"Иракский динар",динар,филс
IRR,"Иранский риал",риал,динар
ISK,"Исландская крона",крона,эйрир
JMD,"Ямайский доллар",доллар,цент
JOD,"Иорданский динар",динар,пиастр
JPY,"Японская иена",иена,сен
KES,"Кенийский шиллинг",шиллинг,цент
KGS,"Киргизский сом",сом,тыйын
KHR,"Камбоджийский риель",риель,как
KMF,"Франк Коморских островов",франк,сантим
KPW,"Северокорейская вона",вона,чон
KRW,"Южнокорейская вона",вона,чон
KWD,"Кувейтский динар",динар,филс
KYD,"Доллар Каймановых островов",доллар,цент
KZT,"Казахстанский тенге",тенге,тиын
LAK,"Лаосский кип",кип,ат
LBP,"Ливанский фунт",фунт,пиастр
LRD,"Либерийский доллар",доллар,цент
LSL,"Лоти Лесото","лоти (малоти)",сенте
LTL,"Литовский лит",лит,центас
LYD,"Ливийский динар",динар,дирхам
MAD,"Марокканский дирхам",дирхам,сантим
MDL,"Молдавский лей",лей,бань
MGA,"Малагасийский ариари",ариари,ираимбиланджа
MKD,"Македонский денар",денар,дени
MMK,"Мьянманский кьят",кьят,пья
MNT,"Монгольский тугрик",тугрик,мөнгө
MOP,"Патака Макао",патака,аво
MRO,"Мавританская угия",угия,хумс
MUR,"Маврикийская рупия",рупия,цент
MVR,"Мальдивская руфия",руфия,лаари
MWK,"Малавийская квача",квача,тамбала
MXN,"Мексиканское песо",песо,сентаво
MYR,"Малайзийский ринггит",ринггит,сен
MZN,"Мозамбикский метикал",метикал,сентаво
NAD,"Доллар Намибии",доллар,цент
NGN,"Нигерийская найра",найра,кобо
NIO,"Никарагуанская кордоба",кордоба,сентаво
NOK,"Норвежская крона",крона,эре
NPR,"Непальская рупия",рупия,пайса
NZD,"Новозеландский доллар",доллар,цент
OMR,"Оманский риал",риал,байса
PAB,"Панамский бальбоа",бальбоа,центесимо
PEN,"Перуанский соль",соль,сентаво
PGK,"Кина Папуа — Новой Гвинеи",кина,тоя
PHP,"Филиппинское песо",песо,сентиимо
PKR,"Пакистанская рупия",рупия,пайса
PLN,"Польский злотый",злотый,грош
PYG,"Парагвайский гуарани",гуарани,сентаво
QAR,"Катарский риал",риал,дирхам
RON,"Румынский лей",лей,бани
RSD,"Сербский динар",динар,пара
RUB,"Российский рубль",рубль,копейка
RWF,"Франк Руанды",франк,сантим
SAR,"Саудовский риял",риал,халала
SBD,"Доллар Соломоновых островов",доллар,цент
SCR,"Сейшельская рупия",рупия,цент
SDG,"Суданский фунт",фунт,пиастр
SEK,"Шведская крона",крона,эре
SGD,"Сингапурский доллар",доллар,цент
SHP,"Фунт Святой Елены",фунт,пенс
SLL,"Леоне Сьерра-Леоне",леоне,цент
SOS,"Сомалийский шиллинг",шиллинг,сенти
SRD,"Суринамский доллар",доллар,цент
STD,"Добра Сан-Томе и Принсипи",добра,сантим
SYP,"Сирийский фунт",фунт,пиастр
SZL,"Свазилендский лилангени",лилангени,цент
THB,"Тайский бат",бат,сатанг
TJS,"Таджикский сомони",сомони,дирам
TMT,"Туркменский манат",манат,тенге
TND,"Тунисский динар",динар,миллим
TOP,"Тонганская паанга",хау,сенити
TRY,"Турецкая лира",лира,куруш
TTD,"Доллар Тринидада и Тобаго",доллар,цент
TWD,"Новый тайваньский доллар",доллар,цзяо
TZS,"Танзанийский шиллинг",шиллинг,цент
UAH,"Украинская гривна",гривна,копейка
UGX,"Угандийский шиллинг",шиллинг,цент
USD,"Доллар США",доллар,цент
UYU,"Уругвайское песо",песо,сентаво
UZS,"Узбекский сум",сум,тийин
VEF,"Венесуэльский боливар",боливар,сентаво
VND,"Вьетнамский донг",донг,су
VUV,"Вату Вануату",вату,
WST,"Самоанская тала",тала,сене
XAF,"Франк КФА BEAC",франк,сантим
XCD,"Восточно-карибский доллар",доллар,цент
XOF,"Франк КФА BCEAO",франк,сантим
XPF,"Франк КФП",франк,сантим
YER,"Йеменский риал",риал,филс
ZAR,"Южноафриканский ранд",ранд,цент
ZMW,"Замбийская квача",квача,нгве
