code,name,major,minor
AED,阿联酋迪拉姆,迪拉姆,菲尔
AFN,阿富汗尼,阿富汗尼,普尔
ALL,阿尔巴尼亚列克,列克,金达尔克
AMD,亚美尼亚德拉姆,德拉姆,卢马
AOA,安哥拉宽扎,宽扎,分
ARS,阿根廷比索,比索,分
AUD,澳大利亚元,元,分
AWG,阿鲁巴弗罗林,弗罗林,分
AZN,阿塞拜疆马纳特,马纳特,戈比
BAM,波黑可兑换马克,可兑换马克,芬尼
BBD,巴巴多斯元,元,分
BDT,孟加拉塔卡,塔卡,波伊沙
BGN,保加利亚列弗,列弗,斯托丁卡
BHD,巴林第纳尔,第纳尔,菲尔
BIF,布隆迪法郎,法郎,生丁
BMD,百慕大元,元,分
BND,文莱元,元,分
BOB,玻利维亚诺,玻利维亚诺,分
BRL,巴西雷亚尔,雷亚尔,分
BSD,巴哈马元,元,分
BTC,比特币,比特币,毫比特
BTN,不丹努尔特鲁姆,努尔特鲁姆,切图姆
BWP,博茨瓦纳普拉,普拉,特贝
BYR,白俄罗斯卢布,卢布,戈比
BZD,伯利兹元,元,分
CAD,加拿大元,元,分
CDF,刚果法郎,法郎,生丁
CHF,瑞士法郎,法郎,生丁
CLP,智利比索,比索,分
CNY,人民币,元,分
COP,哥伦比亚比索,比索,分
CRC,哥斯达黎加科朗,科朗,分
CUP,古巴比索,比索,分
CVE,佛得角埃斯库多,埃斯库多,分
CZK,捷克克朗,克朗,哈勒尔
DJF,吉布提法郎,法郎,生丁
DKK,丹麦克朗,克朗,欧尔
DOP,多米尼加比索,比索,分
DZD,阿尔及利亚第纳尔,第纳尔,分
EGP,埃及镑,镑,皮阿斯特
ERN,厄立特里亚纳克法,纳克法,分
ETB,埃塞俄比亚比尔,比尔,桑提姆
ETH,以太坊,以太币,gwei
EUR,欧元,欧元,分
FJD,斐济元,元,分
FKP,福克兰群岛镑,镑,便士
GBP,英镑,镑,便士
GEL,格鲁吉亚拉里,拉里,泰特里
GHS,加纳塞地,塞地,佩塞瓦
GIP,直布罗陀镑,镑,便士
GMD,冈比亚达拉西,达拉西,布图
GNF,几内亚法郎,法郎,生丁
GTQ,危地马拉格查尔,格查尔,分
GYD,圭亚那元,元,分
HKD,港元,元,分
HNL,洪都拉斯伦皮拉,伦皮拉,分
HRK,克罗地亚库纳,库纳,利帕
HTG,海地古德,古德,生丁
HUF,匈牙利福林,福林,菲勒
IDR,印尼盾,盾,仙
ILS,以色列新谢克尔,谢克尔,阿戈罗特
INR,印度卢比,卢比,派萨
IQD,伊拉克第纳尔,第纳尔,菲尔
IRR,伊朗里亚尔,里亚尔,第纳尔
ISK,冰岛克朗,克朗,埃伊里
JMD,牙买加元,元,分
JOD,约旦第纳尔,第纳尔,皮阿斯特
JPY,日元,日元,钱
KES,肯尼亚先令,先令,分
KGS,吉尔吉斯斯坦索姆,索姆,提因
KHR,柬埔寨瑞尔,瑞尔,卡克
KMF,科摩罗法郎,法郎,生丁
KPW,朝鲜圆,圆,全
KRW,韩元,韩元,钱
KWD,科威特第纳尔,第纳尔,菲尔
KYD,开曼群岛元,元,分
