code,name,major,minor
AED,"Dírham de los Emiratos Árabes Unidos",dirham,fils
AFN,"Afgano afgano",afgani,pul
ALL,"Lek albanés",lek,qindarkë
AMD,"Dram armenio",dracma,luma
AOA,"Kwanza angoleño",kwanza,cêntimos
ARS,"Peso argentino",peso,centavo
AUD,"Dólar australiano",dólar,centavo
AWG,"Florín de Aruba",florín,centavo
AZN,"Manat azerbaiyano",manat,qepik
BAM,"Marco convertible de Bosnia-Herzegovina","marcas convertibles",fening
BBD,"Dólar de Barbados",dólar,centavo
BDT,"Taka bangladesí",taka,poisha
BGN,"Lev búlgaro",lev,stotinki
BHD,"Dinar bahreiní",dinar,fils
BIF,"Franco burundés",franco,céntimo
BMD,"Dólar de las Bermudas",dólar,centavo
BND,"Dólar de Brunei",dólar,centavo
BOB,"Boliviano de Bolivia",boliviano,centavo
BRL,"Real brasileño",real,centavo
BSD,"Dólar de las Bahamas",dólar,centavo
BTC,Bitcoin,bitcoin,millibitcoin
BTN,Ngultrum,ngultrum,chhertum
BWP,"Pula de Botswana",pula,"el ser"
BYR,"Rublo bielorruso",rublo,kapeyka
BZD,"Dólar de Belice",dólar,centavo
CAD,"Dolar canadiense",dólar,centavo
CDF,"Franco congoleño",franco,céntimo
CHF,"Franco suizo",franco,rappen
CLP,"Peso chileno",peso,centavo
CNY,"Yuan chino",yuan,pantano
COP,"Peso colombiano",peso,centavo
CRC,"Colón costarricense",colon,céntimo
CUP,"Peso cubano",peso,centavo
CVE,"Escudo caboverdiano",escudo,centavo
CZK,"Corona de la República Checa",corona,haléř
DJF,"Franco de Yibuti",franco,céntimo
DKK,"Corona danesa",coronas,coronas
DOP,"Peso dominicano",peso,centavo
DZD,"Dinar argelino",dinar,santeem
EGP,"Libra egipcia",libra,piastra
ERN,"Eritrean Nakfa",nafka,centavo
ETB,"Birr etíope",birr,santim
ETH,Ether,ether,gwei
EUR,Euro,euro,centavo
FJD,"Dólar de Fiji",dólar,centavo
FKP,"Libra de las Islas Malvinas",libra,centavo
GBP,"Libra esterlina británica",libra,centavo
GEL,"Lari georgiano",lari,tetri
GHS,"Cedi de Ghana",cedi,pesewa
GIP,"Libra gibraltareña",libra,centavo
GMD,Dalasi,dalasi,butut
GNF,"Franco guineano",franco,céntimo
GTQ,"Quetzal guatemalteco",quetzales,centavo
GYD,"Dólar de Guyana",dólar,centavo
HKD,"Dolar de Hong Kong",dólar,centavo
HNL,"Lempira hondureña",lempira,centavo
HRK,"Kuna croata",kuna,lipa
HTG,"Haití Gourde",gourde,céntimo
HUF,"Florín húngaro",forint,relleno
IDR,"Rupia indonesia",rupia,sen
ILS,"Nuevo sheqel israelí",siclo,agorat
INR,"Rupia india",rupia,paisa
IQD,"Dinar iraquí",dinar,fils
IRR,"Rial iraní",rial,dinar
ISK,"Corona islandesa",corona,eyrir
JMD,"Dólar jamaicano",dólar,centavo
JOD,"Dinar jordano",dinar,piastra
JPY,"Yen japonés",yen,sen
KES,"Chelín keniano",chelín,centavo
KGS,"Som kirguís",som,tyiyn
KHR,"Riel camboyano",riel,kak
KMF,"Franco comorano",franco,céntimo
KPW,"Won norcoreano",won,chon
KRW,"Won surcoreano",won,jeon
KWD,"Dinar kuwaití",dinar,fils
KYD,"Dólar de las Islas Caimán",dólar,centavo
KZT,"Tenge kazajo",tenge,tïın
LAK,"Lao Kip",dormir,att
LBP,"Libra libanesa",libra,piastra
LRD,"Dólar liberiano",dólar,centavo
LSL,"Loti de Lesoto","loti (maloti)",sente
LTL,"Litas lituana",litas,centas
LYD,"Dinar libio",dinar,dirham
MAD,"Dirham marroquí",dirham,santim
MDL,"Leu moldavo",leu,prohibición
MGA,"Ariary malgache",ariary,iraimbilanja
MKD,"Denar macedonio",denar,deni
MMK,"Myanma Kyat",kyat,pya
MNT,"Tögrög mongol",tughrik,möngö
MOP,"Pataca de Macao",pataca,ho
MRO,"Ouguiya mauritano",ouguiya,khoums
MUR,"Rupia de Mauricio",rupia,centavo
MVR,"Rufiyaa de Maldivas",rufiyaa,laari
MWK,"Kwacha malauí",kwacha,tambala
MXN,"Peso mexicano",dólar,centavo
MYR,"Ringgit malayo",ringgit,sen
MZN,"Metical mozambiqueño",metico,centavo
NAD,"Dólar de Namibia",dólar,centavo
NGN,"Naira nigeriana",naira,kobo
NIO,"Córdoba nicaragüense",córdoba,centavo
NOK,"Corona noruega",corona,mineral
NPR,"Rupia nepalí",rupia,paisa
NZD,"Dolar de Nueva Zelanda",dólar,centavo
OMR,"Rial omaní",rial,baisa
PAB,"Balboa panameño",balboa,centésimo
PEN,"Nuevo Sol Peruano","nuevo sol",céntimo
PGK,"Kina de Papúa Nueva Guinea",kina,toea
PHP,"Peso filipino",peso,sentimo
PKR,"Rupia pakistaní",rupia,paisa
PLN,"Zloty polaco",złoty,grosz
PYG,"Guaraní paraguayo",guaraní,céntimo
QAR,"Rial de Qatar",riyal,dirham
RON,"Leu rumano",leu,bani
RSD,"Dinar serbio",dinar,paraca
RUB,"Rublo ruso",rublo,kopeyka
RWF,"Franco ruandés",franco,céntimo
SAR,"Riyal saudí",riyal,halala
SBD,"Dólar de las Islas Salomón",dólar,centavo
SCR,"Rupia de Seychelles",rupia,centavo
SDG,"Libra sudanesa",libra,piastras
SEK,"Corona sueca",corona,ören
SGD,"Dolar de Singapur",dólar,centavo
SHP,"Libra de Santa Helena",libra,centavo
SLL,"Leona de Sierra Leona",leona,centavo
SOS,"Chelín somalí",chelín,senti
SRD,"Dólar de Surinam",dólar,centavo
STD,"Santo Tomé y Príncipe Dobra",dobra,céntimo
SYP,"Libra siria",libra,piastra
SZL,"Swazi Lilangeni",lilangeni,centavo
THB,"Baht tailandés",baht,satang
TJS,"Tayikistán Somoni",somoni,diram
TMT,"Manat de Turkmenistán",manat,tenge
TND,"Dinar tunecino",dinar,milim
TOP,"Tongan Paʻanga",hau,seniti
TRY,"Lira turca",lira,kuruş
TTD,"Dólar de Trinidad y Tobago",dólar,centavo
TWD,"Nuevo dólar taiwanés",dólar,jiao
TZS,"Chelín de Tanzania",chelín,centavo
UAH,"Grivna ucraniana",hryvnia,kopiyka
UGX,"Chelín ugandés",chelín,centavo
USD,"Dólar estadounidense",dólar,centavo
UYU,"Peso uruguayo",peso,centésimo
UZS,"Uzbekistán Som",som,tiyin
VEF,"Bolívar venezolano","bolívares fuertes",céntimo
VND,"Dong vietnamita",polla,xu
VUV,"Vanuatu Vatu",vatu,
WST,"Samoan Tālā",tālā,sene
XAF,"Franco CFA Beac",franco,céntimo
XCD,"Dólar del Caribe Oriental",dólar,centavo
XOF,"Franco CFA Bceao",franco,céntimo
XPF,"Franco CFP",franco,céntimo
YER,"Rial yemení",rial,fils
ZAR,"Rand sudafricano",rand,centavo
ZMW,"Kwacha de Zambia",kwacha,ngwee
