code,name,major,minor
AED,"संयुक्त अरब अमीरात दिरहम",दिरहम,फिल्स
AFN,"अफ़ग़ान अफ़ग़ानी",अफ़ग़ानी,पुल
ALL,"अल्बानियाई लेक",लेक,किंदार्के
AMD,"आर्मीनियाई द्राम",द्राम,लुमा
AOA,"अंगोला क्वांज़ा",क्वांज़ा,सेंटिमोस
ARS,"अर्जेंटीना पेसो",पेसो,सेंटावो
AUD,"ऑस्ट्रेलियाई डॉलर",डॉलर,सेंट
AWG,"अरूबा फ्लोरिन",फ्लोरिन,सेंट
AZN,"अज़रबैजानी मनात",मनात,क़ेपिक
BAM,"बोस्निया-हर्ज़ेगोविना परिवर्तनीय मार्क","परिवर्तनीय मार्क",फेनिंग
BBD,"बारबाडोस डॉलर",डॉलर,सेंट
BDT,"बांग्लादेशी टका",टका,पैशा
BGN,"बुल्गारियाई लेव",लेव,स्टोटिंकी
BHD,"बहरीनी दिनार",दिनार,फिल्स
BIF,"बुरुंडी फ्रैंक",फ्रैंक,सेंटाइम
BMD,"बरमूडा डॉलर",डॉलर,सेंट
BND,"ब्रुनेई डॉलर",डॉलर,सेंट
BOB,"बोलिवियाई बोलिवियानो",बोलिवियानो,सेंटावो
BRL,"ब्राज़ीलियाई रियाल",रियाल,सेंटावो
BSD,"बहामाई डॉलर",डॉलर,सेंट
BTC,बिटकॉइन,बिटकॉइन,मिलिबिटकॉइन
BTN,नगुलट्रम,नगुलट्रम,छेर्तुम
BWP,"बोत्सवाना पुला",पुला,थेबे
BYR,"बेलारूसी रूबल",रूबल,कापेयका
BZD,"बेलीज डॉलर",डॉलर,सेंट
CAD,"कनाडाई डॉलर",डॉलर,सेंट
CDF,"कोंगोली फ्रैंक",फ्रैंक,सेंटाइम
CHF,"स्विस फ्रैंक",फ्रैंक,राप्पेन
CLP,"चिली पेसो",पेसो,सेंटावो
CNY,"चीनी युआन",युआन,फेन
COP,"कोलंबियाई पेसो",पेसो,सेंटावो
CRC,"कोस्टा रिका कोलोन",कोलोन,पेंस
CUP,"क्यूबा पेसो",पेसो,सेंटावो
CVE,"केप वर्डियन एस्कुडो",एस्कुडो,सेंटावो
CZK,"चेक कोरुना",कोरुना,हालेर्ज़
DJF,"जिबूती फ्रैंक",फ्रैंक,सेंटाइम
DKK,"डेनिश क्रोन",क्रोनर,क्रोनर
DOP,"डोमिनिकन पेसो",पेसो,सेंटावो
DZD,"अल्जीरियाई दिनार",दिनार,संतिम
EGP,"मिस्र पाउंड",पाउंड,पियास्त्र
ERN,"एरीट्रियन नाफ्का",नाफ्का,सेंट
ETB,"इथियोपियाई बिर्र",बिर्र,संतिम
ETH,एथेरियम,ईथर,ग्वेई
EUR,यूरो,यूरो,सेंट
FJD,"फिजी डॉलर",डॉलर,सेंट
FKP,"फॉकलैंड द्वीप पाउंड",पाउंड,पेंस
GBP,"ब्रिटिश पाउंड स्टर्लिंग",पाउंड,पेंस
GEL,"जॉर्जियाई लारी",लारी,तेत्री
GHS,"घानाई सेडी",सेडी,पेसवा
GIP,"जिब्राल्टर पाउंड",पाउंड,पेंस
GMD,दलासी,दलासी,बुटुट
GNF,"गिनी फ्रैंक",फ्रैंक,सेंटाइम
GTQ,"ग्वाटेमाला क्वेट्ज़ल",क्वेट्ज़ल,सेंटावो
GYD,"गयाना डॉलर",डॉलर,सेंट
HKD,"हांगकांग डॉलर",डॉलर,सेंट
HNL,"होंडुरन लेम्पिरा",लेम्पिरा,सेंटावो
HRK,"क्रोएशियाई कुना",कुना,लीपा
HTG,"हैती गूर्ड",गूर्ड,सेंटाइम
HUF,"हंगेरियन फोरिंट",फोरिंट,फिलेर
IDR,"इंडोनेशियाई रुपिया",रुपिया,सेन
ILS,"इज़राइली न्यू शेकेल",शेकेल,अगोरत
INR,"भारतीय रुपया",रुपया,पैसा
IQD,"इराकी दिनार",दिनार,फिल्स
IRR,"ईरानी रियाल",रियाल,दिनार
ISK,"आइसलैंडिक क्रोना",क्रोना,एयरिर
JMD,"जमैका डॉलर",डॉलर,सेंट
JOD,"जॉर्डनियन दिनार",दिनार,पियास्त्र
JPY,"जापानी येन",येन,सेन
KES,"केन्याई शिलिंग",शिलिंग,सेंट
KGS,"किर्गिज़स्तानी सोम",सोम,त्यिन
KHR,"कंबोडियन रियल",रियल,काक
KMF,"कोमोरियन फ्रैंक",फ्रैंक,सेंटाइम
KPW,"उत्तर कोरियाई वॉन",वॉन,चोन
KRW,"दक्षिण कोरियाई वॉन",वॉन,जोन
KWD,"कुवैती दिनार",दिनार,फिल्स
KYD,"केमैन द्वीप डॉलर",डॉलर,सेंट
KZT,"कजाखस्तानी टेंगे",टेंगे,तिइन
