code,emoji,unicode
AW,🇦🇼,"U+1F1E6 U+1F1FC"
AF,🇦🇫,"U+1F1E6 U+1F1EB"
AO,🇦🇴,"U+1F1E6 U+1F1F4"
AI,🇦🇮,"U+1F1E6 U+1F1EE"
AX,🇦🇽,"U+1F1E6 U+1F1FD"
AL,🇦🇱,"U+1F1E6 U+1F1F1"
AD,🇦🇩,"U+1F1E6 U+1F1E9"
AE,🇦🇪,"U+1F1E6 U+1F1EA"
AR,🇦🇷,"U+1F1E6 U+1F1F7"
AM,🇦🇲,"U+1F1E6 U+1F1F2"
AS,🇦🇸,"U+1F1E6 U+1F1F8"
AG,🇦🇬,"U+1F1E6 U+1F1EC"
AU,🇦🇺,"U+1F1E6 U+1F1FA"
AT,🇦🇹,"U+1F1E6 U+1F1F9"
AZ,🇦🇿,"U+1F1E6 U+1F1FF"
BI,🇧🇮,"U+1F1E7 U+1F1EE"
BE,🇧🇪,"U+1F1E7 U+1F1EA"
BJ,🇧🇯,"U+1F1E7 U+1F1EF"
BF,🇧🇫,"U+1F1E7 U+1F1EB"
BD,🇧🇩,"U+1F1E7 U+1F1E9"
BG,🇧🇬,"U+1F1E7 U+1F1EC"
BH,🇧🇭,"U+1F1E7 U+1F1ED"
BS,🇧🇸,"U+1F1E7 U+1F1F8"
BA,🇧🇦,"U+1F1E7 U+1F1E6"
BL,🇧🇱,"U+1F1E7 U+1F1F1"
SH,🇸🇭,"U+1F1F8 U+1F1ED"
BY,🇧🇾,"U+1F1E7 U+1F1FE"
BZ,🇧🇿,"U+1F1E7 U+1F1FF"
BM,🇧🇲,"U+1F1E7 U+1F1F2"
BO,🇧🇴,"U+1F1E7 U+1F1F4"
BR,🇧🇷,"U+1F1E7 U+1F1F7"
BB,🇧🇧,"U+1F1E7 U+1F1E7"
BN,🇧🇳,"U+1F1E7 U+1F1F3"
BT,🇧🇹,"U+1F1E7 U+1F1F9"
BW,🇧🇼,"U+1F1E7 U+1F1FC"
CF,🇨🇫,"U+1F1E8 U+1F1EB"
CA,🇨🇦,"U+1F1E8 U+1F1E6"
CC,🇨🇨,"U+1F1E8 U+1F1E8"
CH,🇨🇭,"U+1F1E8 U+1F1ED"
CL,🇨🇱,"U+1F1E8 U+1F1F1"
CN,🇨🇳,"U+1F1E8 U+1F1F3"
CI,🇨🇮,"U+1F1E8 U+1F1EE"
CM,🇨🇲,"U+1F1E8 U+1F1F2"
CD,🇨🇩,"U+1F1E8 U+1F1E9"
CG,🇨🇬,"U+1F1E8 U+1F1EC"
CK,🇨🇰,"U+1F1E8 U+1F1F0"
CO,🇨🇴,"U+1F1E8 U+1F1F4"
KM,🇰🇲,"U+1F1F0 U+1F1F2"
CV,🇨🇻,"U+1F1E8 U+1F1FB"
CR,🇨🇷,"U+1F1E8 U+1F1F7"
CU,🇨🇺,"U+1F1E8 U+1F1FA"
CX,🇨🇽,"U+1F1E8 U+1F1FD"
