iso2,name
af,アフリカーンス語
ak,アカン語
sq,アルバニア語
am,アムハラ語
ar,アラビア語
hy,アルメニア語
as,アッサム語
az,アゼルバイジャン語
bm,バンバラ語
eu,バスク語
be,ベラルーシ語
bn,ベンガル語
bs,ボスニア語
br,ブルトン語
bg,ブルガリア語
my,ビルマ語
ca,カタロニア語
zh,中国語
kw,コーンウォール語
hr,クロアチア語
cs,チェコ語
da,デンマーク語
nl,オランダ語
dz,ゾンカ語
en,英語
eo,エスペラント語
et,エストニア語
ee,エウェ語
fo,フェロー語
fi,フィンランド語
fr,フランス語
ff,フラ語
gl,ガリシア語
lg,ガンダ語
ka,グルジア語
de,ドイツ語
el,ギリシャ語
gu,グジャラート語
ha,ハウサ語
he,ヘブライ語
hi,ヒンディー語
hu,ハンガリー語
is,アイスランド語
ig,イボ語
id,インドネシア語
ga,アイルランド語
it,イタリア語
ja,日本語
kl,カラリス語
kn,カンナダ語
ks,カシミール語
kk,カザフ語
km,クメール語
ki,キクユ語
rw,キニヤルワンダ語
ko,韓国語
ky,キルギス語
lo,ラオ語
lv,ラトビア語
ln,リンガラ語
lt,リトアニア語
lu,ルバ・カタンガ語
lb,ルクセンブルク語
mk,マケドニア語
mg,マダガスカル語
ms,マレー語
ml,マラヤーラム語
mt,マルタ語
gv,マン島語
mr,マラーティー語
mn,モンゴル語
ne,ネパール語
nd,北ンデベレ語
se,北サーミ語
no,ノルウェー語
nb,ノルウェー・ブークモール
nn,ノルウェー・ニーノシュク
or,オリヤ語
om,オロモ語
os,オセット語
ps,パシュトー語
fa,ペルシャ語
pl,ポーランド語
pt,ポルトガル語
pa,パンジャブ語
qu,ケチュア語
ro,ルーマニア語
rm,ロマンシュ語
rn,ルンディ語
ru,ロシア語
sg,サンゴ語
gd,スコットランド・ゲール語
sr,セルビア語
sh,セルビア・クロアチア語
sn,ショナ語
ii,四川イ語
si,シンハラ語
sk,スロバキア語
sl,スロベニア語
so,ソマリ語
es,スペイン語
sw,スワヒリ語
sv,スウェーデン語
tl,タガログ語
ta,タミル語
te,テルグ語
th,タイ語
bo,チベット語
ti,ティグリニャ語
to,トンガ語
tr,トルコ語
uk,ウクライナ語
ur,ウルドゥー語
ug,ウイグル語
uz,ウズベク語
vi,ベトナム語
cy,ウェールズ語
fy,西フリジア語
yi,イディッシュ語
yo,ヨルバ語
zu,ズールー語
