iso2,name
af,الأفريكانية
ak,الأكانية
sq,الألبانية
am,الأمهرية
ar,العربية
hy,الأرمنية
as,الأسامية
az,الأذربيجانية
bm,البامبارا
eu,الباسكية
be,البيلاروسية
bn,البنغالية
bs,البوسنية
br,البريتانية
bg,البلغارية
my,البورمية
ca,الكتالونية
zh,الصينية
kw,الكورنية
hr,الكرواتية
cs,التشيكية
da,الدانماركية
nl,الهولندية
dz,الدزونخا
en,الإنجليزية
eo,الإسبرانتو
et,الإستونية
ee,الإيوي
fo,الفاروية
fi,الفنلندية
fr,الفرنسية
ff,الفُلا
gl,الجاليكية
lg,الغندا
ka,الجورجية
de,الألمانية
el,اليونانية
gu,الغوجاراتية
ha,الهوسا
he,العبرية
hi,الهندية
hu,الهنغارية
is,الأيسلندية
ig,الإيجبو
id,الإندونيسية
ga,الأيرلندية
it,الإيطالية
ja,اليابانية
kl,الكالاليست
kn,الكانادا
ks,الكشميرية
kk,الكازاخية
km,الخميرية
ki,الكيكيو
rw,الكينيارواندية
ko,الكورية
ky,القيرغيزية
lo,اللاوية
lv,اللاتفية
ln,اللينغالا
lt,الليتوانية
lu,لوبا-كاتانغا
lb,اللوكسمبرجية
mk,المقدونية
mg,المالاجاشية
ms,الملايوية
ml,المالايالامية
mt,المالطية
gv,المانكس
mr,الماراثية
mn,المنغولية
ne,النيبالية
nd,"النديبيلية الشمالية"
se,"السامي الشمالية"
no,النرويجية
nb,"النرويجية بوكمال"
nn,"النرويجية نينورسك"
or,الأوريا
om,الأورومو
os,الأوسيتية
ps,البشتوية
fa,الفارسية
pl,البولندية
pt,البرتغالية
pa,البنجابية
qu,الكيتشوا
ro,الرومانية
rm,الرومانشية
rn,الروندي
ru,الروسية
sg,السانغو
gd,"الغيلية الاسكتلندية"
sr,الصربية
sh,"الصربية الكرواتية"
sn,الشونا
ii,"السيتشوان يي"
si,السنهالية
sk,السلوفاكية
sl,السلوفينية
so,الصومالية
es,الإسبانية
sw,السواحيلية
sv,السويدية
tl,التاغالوغية
ta,التاميلية
te,التيلجو
th,التايلاندية
bo,التبتية
ti,التيغرينية
to,التونغية
tr,التركية
uk,الأوكرانية
ur,الأردية
ug,الأويغورية
uz,الأوزبكية
vi,الفيتنامية
cy,الويلزية
fy,"الفريزية الغربية"
yi,اليديشية
yo,اليوروبا
zu,الزولو
