iso2,name
af,Afrikaans
ak,Akan
sq,Albanisch
am,Amharisch
ar,Arabisch
hy,Armenisch
as,Assamesisch
az,Aserbaidschanisch
bm,Bambara
eu,Baskisch
be,Weißrussisch
bn,Bengalisch
bs,Bosnisch
br,Bretonisch
bg,Bulgarisch
my,Birmanisch
ca,Katalanisch
zh,Chinesisch
kw,Kornisch
hr,Kroatisch
cs,Tschechisch
da,Dänisch
nl,Niederländisch
dz,Dzongkha
en,Englisch
eo,Esperanto
et,Estnisch
ee,Ewe
fo,Färöisch
fi,Finnisch
fr,Französisch
ff,Fulah
gl,Galicisch
lg,Ganda
ka,Georgisch
de,Deutsch
el,Griechisch
gu,Gujarati
ha,Haussa
he,Hebräisch
hi,Hindi
hu,Ungarisch
is,Isländisch
ig,Igbo
id,Indonesisch
ga,Irisch
it,Italienisch
ja,Japanisch
kl,Grönländisch
kn,Kannada
ks,Kaschmiri
kk,Kasachisch
km,Khmer
ki,Kikuyu
rw,Kinyarwanda
ko,Koreanisch
ky,Kirgisisch
lo,Laotisch
lv,Lettisch
ln,Lingala
lt,Litauisch
lu,Luba-Katanga
lb,Luxemburgisch
mk,Mazedonisch
mg,Malagasy
ms,Malaiisch
ml,Malayalam
mt,Maltesisch
gv,Manx
mr,Marathi
mn,Mongolisch
ne,Nepali
nd,Nord-Ndebele
se,Nordsamisch
no,Norwegisch
nb,"Norwegisch Bokmål"
nn,"Norwegisch Nynorsk"
or,Oriya
om,Oromo
os,Ossetisch
ps,Paschtu
fa,Persisch
pl,Polnisch
pt,Portugiesisch
pa,Panjabi
qu,Quechua
ro,Rumänisch
rm,Rätoromanisch
rn,Rundi
ru,Russisch
sg,Sango
gd,Schottisch-Gälisch
sr,Serbisch
sh,Serbokroatisch
sn,Shona
ii,"Sichuan Yi"
si,Singhalesisch
sk,Slowakisch
sl,Slowenisch
so,Somali
es,Spanisch
sw,Suaheli
sv,Schwedisch
tl,Tagalog
ta,Tamil
te,Telugu
th,Thailändisch
bo,Tibetisch
ti,Tigrinya
to,Tongaisch
tr,Türkisch
uk,Ukrainisch
ur,Urdu
ug,Uigurisch
uz,Usbekisch
vi,Vietnamesisch
cy,Walisisch
fy,Westfriesisch
yi,Jiddisch
yo,Yoruba
zu,Zulu
