iso2,name
af,afrikáans
ak,akan
sq,albanés
am,amárico
ar,árabe
hy,armenio
as,asamés
az,azerbaiyano
bm,bambara
eu,euskera
be,bielorruso
bn,bengalí
bs,bosnio
br,bretón
bg,búlgaro
my,birmano
ca,catalán
zh,chino
kw,córnico
hr,croata
cs,checo
da,danés
nl,neerlandés
dz,dzongkha
en,inglés
eo,esperanto
et,estonio
ee,ewé
fo,feroés
fi,finés
fr,francés
ff,fula
gl,gallego
lg,ganda
ka,georgiano
de,alemán
el,griego
gu,guyaratí
ha,hausa
he,hebreo
hi,hindi
hu,húngaro
is,islandés
ig,igbo
id,indonesio
ga,irlandés
it,italiano
ja,japonés
kl,groenlandés
kn,canarés
ks,cachemiro
kk,kazajo
km,jemer
ki,kikuyu
rw,kinyarwanda
ko,coreano
ky,kirguís
lo,laosiano
lv,letón
ln,lingala
lt,lituano
lu,luba-katanga
lb,luxemburgués
mk,macedonio
mg,malgache
ms,malayo
ml,malayalam
mt,maltés
gv,manés
mr,maratí
mn,mongol
ne,nepalí
nd,"ndebele del norte"
se,"sami septentrional"
no,noruego
nb,"bokmal noruego"
nn,"nynorsk noruego"
or,oriya
om,oromo
os,osético
ps,pastún
fa,persa
pl,polaco
pt,portugués
pa,panyabí
qu,quechua
ro,rumano
rm,romanche
rn,rundi
ru,ruso
sg,sango
gd,"gaélico escocés"
sr,serbio
sh,serbocroata
sn,shona
ii,"yi de Sichuan"
si,cingalés
sk,eslovaco
sl,esloveno
so,somalí
es,español
sw,suajili
sv,sueco
tl,tagalo
ta,tamil
te,telugu
th,tailandés
bo,tibetano
ti,tigriña
to,tongano
tr,turco
uk,ucraniano
ur,urdu
ug,uigur
uz,uzbeko
vi,vietnamita
cy,galés
fy,"frisón occidental"
yi,yidis
yo,yoruba
zu,zulú
