iso2,name
af,Afrikaans
ak,Akan
sq,Albanais
am,Amharique
ar,Arabe
hy,Arménien
as,Assamais
az,Azerbaïdjanais
bm,Bambara
eu,Basque
be,Biélorusse
bn,Bengali
bs,Bosniaque
br,Breton
bg,Bulgare
my,Birman
ca,Catalan
zh,Chinois
kw,Cornique
hr,Croate
cs,Tchèque
da,Danois
nl,Néerlandais
dz,Dzongkha
en,Anglais
eo,Espéranto
et,Estonien
ee,Éwé
fo,Féroïen
fi,Finnois
fr,Français
ff,Peul
gl,Galicien
lg,Ganda
ka,Géorgien
de,Allemand
el,Grec
gu,Gujarati
ha,Haoussa
he,Hébreu
hi,Hindi
hu,Hongrois
is,Islandais
ig,Igbo
id,Indonésien
ga,Irlandais
it,Italien
ja,Japonais
kl,Groenlandais
kn,Kannada
ks,Kashmiri
kk,Kazakh
km,Khmer
ki,Kikuyu
rw,Kinyarwanda
ko,Coréen
ky,Kirghiz
lo,Lao
lv,Letton
ln,Lingala
lt,Lituanien
lu,Luba-Katanga
lb,Luxembourgeois
mk,Macédonien
mg,Malgache
ms,Malais
ml,Malayalam
mt,Maltais
gv,Mannois
mr,Marathi
mn,Mongol
ne,Népalais
nd,"Ndebele du Nord"
se,"Sami du Nord"
no,Norvégien
nb,"Norvégien Bokmål"
nn,"Norvégien Nynorsk"
or,Oriya
om,Oromo
os,Ossète
ps,Pachto
fa,Persan
pl,Polonais
pt,Portugais
pa,Pendjabi
qu,Quechua
ro,Roumain
rm,Romanche
rn,Rundi
ru,Russe
sg,Sango
gd,"Gaélique écossais"
sr,Serbe
sh,Serbo-croate
sn,Shona
ii,"Yi du Sichuan"
si,Singhalais
sk,Slovaque
sl,Slovène
so,Somali
es,Espagnol
sw,Swahili
sv,Suédois
tl,Tagalog
ta,Tamoul
te,Télougou
th,Thaï
bo,Tibétain
ti,Tigrigna
to,Tongien
tr,Turc
uk,Ukrainien
ur,Ourdou
ug,Ouïghour
uz,Ouzbek
vi,Vietnamien
cy,Gallois
fy,"Frison occidental"
yi,Yiddish
yo,Yoruba
zu,Zoulou
