iso2,name
af,अफ़्रीकी
ak,अकन
sq,अल्बानियाई
am,अम्हारिक
ar,अरबी
hy,आर्मेनियाई
as,असमिया
az,अज़रबैजानी
bm,बाम्बारा
eu,बास्क
be,बेलारूसी
bn,बंगाली
bs,बोस्नियाई
br,ब्रेटन
bg,बुल्गारियाई
my,बर्मी
ca,कैटलन
zh,चीनी
kw,कॉर्निश
hr,क्रोएशियाई
cs,चेक
da,डेनिश
nl,डच
dz,ज़ोंगखा
en,अंग्रेज़ी
eo,एस्पेरांतो
et,एस्टोनियाई
ee,एवे
fo,फैरोसी
fi,फिनिश
fr,फ्रेंच
ff,फुलाह
gl,गैलिशियन
lg,गांडा
ka,जॉर्जियन
de,जर्मन
el,यूनानी
gu,गुजराती
ha,हौसा
he,हिब्रू
hi,हिन्दी
hu,हंगेरियन
is,आइसलैंडिक
ig,इग्बो
id,इंडोनेशियाई
ga,आयरिश
it,इतालवी
ja,जापानी
kl,कालााल्लिसुत
kn,कन्नड़
ks,कश्मीरी
kk,कज़ाख
km,खमेर
ki,किकुयू
rw,किन्यारवांडा
ko,कोरियाई
ky,किर्गिज़
lo,लाओ
lv,लातवियाई
ln,लिंगाला
lt,लिथुआनियाई
lu,लुबा-काटांगा
lb,लक्ज़मबर्गिश
mk,मेसिडोनियन
mg,मलागासी
ms,मलय
ml,मलयालम
mt,माल्टीज़
gv,मैनक्स
mr,मराठी
mn,मंगोलियाई
ne,नेपाली
nd,"उत्तर न्देबेले"
se,"नॉर्दर्न सामी"
no,नॉर्वेजियन
nb,"नॉर्वेजियन बोकमाल"
nn,"नॉर्वेजियन निनोर्स्क"
or,ओड़िया
om,ओरोमो
os,ओस्सेटिक
ps,पश्तो
fa,फ़ारसी
pl,पोलिश
pt,पुर्तगाली
pa,पंजाबी
qu,क्वेचुआ
ro,रोमानियाई
rm,रोमांश
rn,रुंडी
ru,रूसी
sg,सांगो
gd,"स्कॉटिश गेलिक"
sr,सर्बियाई
sh,सर्बो-क्रोएशियाई
sn,शोना
ii,"सिचुआन यी"
si,सिंहला
sk,स्लोवाक
sl,स्लोवेनियाई
so,सोमाली
es,स्पेनिश
sw,स्वाहिली
sv,स्वीडिश
tl,टैगलॉग
ta,तमिल
te,तेलुगु
th,थाई
bo,तिब्बती
ti,तिग्रिन्या
to,टोंगन
tr,तुर्की
uk,यूक्रेनी
ur,उर्दू
ug,उइघुर
uz,उज़्बेक
vi,वियतनामी
cy,वेल्श
fy,"पश्चिमी फ्रिसियन"
yi,यिडिश
yo,योरूबा
zu,ज़ुलु
