iso2,name
af,Африкаанс
ak,Акан
sq,Албанский
am,Амхарский
ar,Арабский
hy,Армянский
as,Ассамский
az,Азербайджанский
bm,Бамбара
eu,Баскский
be,Белорусский
bn,Бенгальский
bs,Боснийский
br,Бретонский
bg,Болгарский
my,Бирманский
ca,Каталанский
zh,Китайский
kw,Корнский
hr,Хорватский
cs,Чешский
da,Датский
nl,Голландский
dz,Дзонг-кэ
en,Английский
eo,Эсперанто
et,Эстонский
ee,Эве
fo,Фарерский
fi,Финский
fr,Французский
ff,Фула
gl,Галисийский
lg,Ганда
ka,Грузинский
de,Немецкий
el,Греческий
gu,Гуджарати
ha,Хауса
he,Иврит
hi,Хинди
hu,Венгерский
is,Исландский
ig,Игбо
id,Индонезийский
ga,Ирландский
it,Итальянский
ja,Японский
kl,Гренландский
kn,Каннада
ks,Кашмири
kk,Казахский
km,Кхмерский
ki,Кикуйю
rw,Киньяруанда
ko,Корейский
ky,Киргизский
lo,Лаосский
lv,Латышский
ln,Лингала
lt,Литовский
lu,Луба-Катанга
lb,Люксембургский
mk,Македонский
mg,Малагасийский
ms,Малайский
ml,Малаялам
mt,Мальтийский
gv,Мэнский
mr,Маратхи
mn,Монгольский
ne,Непальский
nd,"Северный ндебеле"
se,"Северный саамский"
no,Норвежский
nb,"Норвежский букмол"
nn,"Норвежский нюнорск"
or,Ория
om,Оромо
os,Осетинский
ps,Пушту
fa,Персидский
pl,Польский
pt,Португальский
pa,Панджаби
qu,Кечуа
ro,Румынский
rm,Ретороманский
rn,Рунди
ru,Русский
sg,Санго
gd,"Шотландский гэльский"
sr,Сербский
sh,Сербохорватский
sn,Шона
ii,"Сычуаньский и"
si,Сингальский
sk,Словацкий
sl,Словенский
so,Сомалийский
es,Испанский
sw,Суахили
sv,Шведский
tl,Тагальский
ta,Тамильский
te,Телугу
th,Тайский
bo,Тибетский
ti,Тигринья
to,Тонганский
tr,Турецкий
uk,Украинский
ur,Урду
ug,Уйгурский
uz,Узбекский
vi,Вьетнамский
cy,Валлийский
fy,Западнофризский
yi,Идиш
yo,Йоруба
zu,Зулу
