iso2,name
af,南非荷兰语
ak,阿坎语
sq,阿尔巴尼亚语
am,阿姆哈拉语
ar,阿拉伯语
hy,亚美尼亚语
as,阿萨姆语
az,阿塞拜疆语
bm,班巴拉语
eu,巴斯克语
be,白俄罗斯语
bn,孟加拉语
bs,波斯尼亚语
br,布列塔尼语
bg,保加利亚语
my,缅甸语
ca,加泰罗尼亚语
zh,中文
kw,康沃尔语
hr,克罗地亚语
cs,捷克语
da,丹麦语
nl,荷兰语
dz,宗卡语
en,英语
eo,世界语
et,爱沙尼亚语
ee,埃维语
fo,法罗语
fi,芬兰语
fr,法语
ff,富拉语
gl,加利西亚语
lg,卢干达语
ka,格鲁吉亚语
de,德语
el,希腊语
gu,古吉拉特语
ha,豪萨语
he,希伯来语
hi,印地语
hu,匈牙利语
is,冰岛语
ig,伊博语
id,印度尼西亚语
ga,爱尔兰语
it,意大利语
ja,日语
kl,格陵兰语
kn,卡纳达语
ks,克什米尔语
kk,哈萨克语
km,高棉语
ki,基库尤语
rw,卢旺达语
ko,韩语
ky,吉尔吉斯语
lo,老挝语
lv,拉脱维亚语
ln,林加拉语
lt,立陶宛语
lu,卢巴加丹加语
lb,卢森堡语
mk,马其顿语
mg,马尔加什语
ms,马来语
ml,马拉雅拉姆语
mt,马耳他语
gv,马恩岛语
mr,马拉地语
mn,蒙古语
ne,尼泊尔语
nd,北恩德贝莱语
se,北萨米语
no,挪威语
nb,挪威博克马尔语
nn,挪威尼诺斯克语
or,奥里亚语
om,奥罗莫语
os,奥塞梯语
ps,普什图语
fa,波斯语
pl,波兰语
pt,葡萄牙语
pa,旁遮普语
qu,克丘亚语
ro,罗马尼亚语
rm,罗曼什语
rn,基隆迪语
ru,俄语
sg,桑戈语
gd,苏格兰盖尔语
sr,塞尔维亚语
sh,塞尔维亚-克罗地亚语
sn,绍纳语
ii,四川彝语
si,僧伽罗语
sk,斯洛伐克语
sl,斯洛文尼亚语
so,索马里语
es,西班牙语
sw,斯瓦希里语
sv,瑞典语
tl,塔加洛语
ta,泰米尔语
te,泰卢固语
th,泰语
bo,藏语
ti,提格利尼亚语
to,汤加语
tr,土耳其语
uk,乌克兰语
ur,乌尔都语
ug,维吾尔语
uz,乌兹别克语
vi,越南语
cy,威尔士语
fy,西弗里斯兰语
yi,意第绪语
yo,约鲁巴语
zu,祖鲁语
