code,country_code,regex,lengths,national_prefix,international_prefix,national_example,international_example,e164_example,rfc3966_example
AW,297,"(?:290|5[69]\d|6(?:[03]0|22|4[0-2]|[69]\d)|7(?:[34]\d|7[07])|9(?:6[45]|9[4-8]))\d{4}",,,,"560 1234","+297 560 1234",+2975601234,tel:+297-560-1234
AF,93,"7\d{8}",,,,"070 123 4567","+93 70 123 4567",+93701234567,tel:+93-70-123-4567
AO,244,"9[1-79]\d{7}",,,,"923 123 456","+244 923 123 456",+244923123456,tel:+244-923-123-456
AI,1,"264(?:235|4(?:69|76)|5(?:3[6-9]|8[1-4])|7(?:29|72))\d{4}",,,,"(264) 235-1234","+1 264-235-1234",+12642351234,tel:+1-264-235-1234
AX,358,"4946\d{2,6}|(?:4[0-8]|50)\d{4,8}","6, 7, 8, 9, 10",,,"041 2345678","+358 41 2345678",+358412345678,tel:+358-41-2345678
AL,355,"6(?:[78][2-9]|9\d)\d{6}",9,,,"067 212 3456","+355 67 212 3456",+355672123456,tel:+355-67-212-3456
AD,376,"690\d{6}|[356]\d{5}","6, 9",,,"312 345","+376 312 345",+376312345,tel:+376-312-345
AE,971,"5[024-68]\d{7}",9,,,"050 123 4567","+971 50 123 4567",+971501234567,tel:+971-50-123-4567
AR,54,"93(?:7(?:1[15]|81)|8(?:21|4[16]|69|9[12]))[46]\d{5}|9(?:2(?:2(?:2[59]|44|52)|3(?:26|44)|47[35]|9(?:[07]2|2[26]|34|46))|3327)[45]\d{5}|9(?:2(?:657|9(?:54|66))|3(?:48[27]|7(?:55|77)|8(?:65|78)))[2-8]\d{5}|9(?:2(?:284|3(?:02|23)|477|622|920)|3(?:4(?:46|89|92)|541))[2-7]\d{5}|(?:675\d|9(?:11[1-8]\d|2(?:2(?:0[45]|1[2-6]|3[3-6])|3(?:[06]4|7[45])|494|6(?:04|1[2-8]|[36][45]|4[3-6])|80[45]|9(?:[17][4-6]|[48][45]|9[3-6]))|3(?:364|4(?:1[2-8]|[25][4-6]|3[3-6]|84)|5(?:1[2-9]|[38][4-6])|6(?:2[45]|44)|7[069][45]|8(?:0[45]|1[2-7]|3[4-6]|5[3-6]|7[2-6]|8[3-68]))))\d{6}|9(?:2(?:2(?:62|81)|320|9(?:42|83))|3(?:329|4(?:62|7[16])|5(?:43|64)|7(?:18|5[17])))[2-6]\d{5}|92(?:2(?:21|4[23]|6[145]|7[1-4]|8[356]|9[267])|3(?:16|3[13-8]|43|5[346-8]|9[3-5])|6(?:2[46]|4[78]|5[1568])|9(?:03|2[1457-9]|3[1356]|4[08]|[56][23]|82))4\d{5}|9(?:2(?:257|3(?:24|46|92)|9(?:01|23|64))|3(?:4(?:42|64)|5(?:25|37|4[47]|71)|7(?:35|72)|825))[3-6]\d{5}|9(?:2(?:2(?:02|2[3467]|4[156]|5[45]|6[6-8]|91)|3(?:1[47]|25|[45][25]|96)|47[48]|625|932)|3(?:38[2578]|4(?:0[0-24-9]|3[78]|4[457]|58|6[035-9]|72|83|9[136-8])|5(?:2[124]|[368][23]|4[2689]|7[2-6])|7(?:16|2[15]|3[14]|4[13]|5[468]|7[3-5]|8[26])|8(?:2[67]|3[278]|4[3-5]|5[78]|6[1-378]|[78]7|94)))[4-6]\d{5}",,,,"011 15-2345-6789","+54 9 11 2345-6789",+5491123456789,tel:+54-9-11-2345-6789
AM,374,"(?:33|4[1349]|55|77|88|9[13-9])\d{6}",,,,"077 123456","+374 77 123456",+37477123456,tel:+374-77-123456
AS,1,"684(?:2(?:48|5[2468]|7[26])|7(?:3[13]|70|82))\d{4}",,,,"(684) 733-1234","+1 684-733-1234",+16847331234,tel:+1-684-733-1234
AG,1,"268(?:464|7(?:1[3-9]|[28]\d|3[0246]|64|7[0-689]))\d{4}",,,,"(268) 464-1234","+1 268-464-1234",+12684641234,tel:+1-268-464-1234
AU,61,"4(?:79[01]|83[0-389]|94[0-478])\d{5}|4(?:[0-36]\d|4[047-9]|[58][0-24-9]|7[02-8]|9[0-37-9])\d{6}",9,,,"0412 345 678","+61 412 345 678",+61412345678,tel:+61-412-345-678
AT,43,"6(?:485|(?:5[0-3579]|6[013-9]|[7-9]\d)\d)\d{3,9}","7, 8, 9, 10, 11, 12, 13",,,"0664 123456","+43 664 123456",+43664123456,tel:+43-664-123456
AZ,994,"36554\d{4}|(?:[16]0|4[04]|5[015]|7[07]|99)\d{7}",,,,"040 123 45 67","+994 40 123 45 67",+994401234567,tel:+994-40-123-45-67
BI,257,"(?:29|6[124-9]|7[125-9])\d{6}",,,,"79 56 12 34","+257 79 56 12 34",+25779561234,tel:+257-79-56-12-34
BE,32,"4[5-9]\d{7}",9,,,"0470 12 34 56","+32 470 12 34 56",+32470123456,tel:+32-470-12-34-56
BJ,229,"(?:01(?:2[5-9]|[4-69]\d)|4[0-8]|[56]\d|9[013-9])\d{6}",,,,"01 95 12 34 56","+229 01 95 12 34 56",+2290195123456,tel:+229-01-95-12-34-56
BF,226,"(?:0[1-7]|44|5[0-8]|[67]\d)\d{6}",,,,"70 12 34 56","+226 70 12 34 56",+22670123456,tel:+226-70-12-34-56
BD,880,"(?:1[13-9]\d|644)\d{7}|(?:3[78]|44|66)[02-9]\d{7}",10,,,01812-345678,"+880 1812-345678",+8801812345678,tel:+880-1812-345678
BG,359,"(?:43[07-9]|99[69]\d)\d{5}|(?:8[7-9]|98)\d{7}","8, 9",,,"043 012 345","+359 43 012 345",+35943012345,tel:+359-43-012-345
BH,973,"(?:3(?:[0-79]\d|8[0-57-9])\d|6(?:3(?:00|33|6[16])|441|6(?:3[03-9]|[69]\d|7[0-689])))\d{4}",,,,"3600 1234","+973 3600 1234",+97336001234,tel:+973-3600-1234
BS,1,"242(?:3(?:5[79]|7[56]|95)|4(?:[23][1-9]|4[1-35-9]|5[1-8]|6[2-8]|7\d|81)|5(?:2[45]|3[35]|44|5[1-46-9]|65|77)|6[34]6|7(?:27|38)|8(?:0[1-9]|1[02-9]|2\d|3[0-4]|[89]9))\d{4}",,,,"(242) 359-1234","+1 242-359-1234",+12423591234,tel:+1-242-359-1234
BA,387,"6040\d{5}|6(?:03|[1-356]|44|7\d)\d{6}",,,,"061 123 456","+387 61 123 456",+38761123456,tel:+387-61-123-456
BL,590,"(?:69(?:0\d\d|1(?:2[2-9]|3[0-5])|4(?:0[89]|1[2-6]|9\d)|6(?:1[016-9]|5[0-4]|[67]\d))|7090[0-4])\d{4}",,,,"0690 00 12 34","+590 690 00 12 34",+590690001234,tel:+590-690-00-12-34
SH,290,"[56]\d{4}",5,,,51234,"+290 51234",+29051234,tel:+290-51234
BY,375,"(?:2(?:5[5-79]|9[1-9])|(?:33|44)\d)\d{6}",9,,,"8 029 491-19-11","+375 29 491-19-11",+375294911911,tel:+375-29-491-19-11
BZ,501,"6[0-35-7]\d{5}",7,,,622-1234,"+501 622-1234",+5016221234,tel:+501-622-1234
BM,1,"441(?:[2378]\d|5[0-39]|9[02])\d{5}",,,,"(441) 370-1234","+1 441-370-1234",+14413701234,tel:+1-441-370-1234
BO,591,"[67]\d{7}",8,,,71234567,"+591 71234567",+59171234567,tel:+591-71234567
BR,55,"(?:[14689][1-9]|2[12478]|3[1-578]|5[13-5]|7[13-579])(?:7|9\d)\d{7}","10, 11",,,"(11) 96123-4567","+55 11 96123-4567",+5511961234567,tel:+55-11-96123-4567
BB,1,"246(?:(?:2(?:[3568]\d|4[0-57-9])|3(?:5[2-9]|6[0-6])|4(?:46|5\d)|69[5-7]|8(?:[2-5]\d|83))\d|52(?:1[147]|20))\d{3}",,,,"(246) 250-1234","+1 246-250-1234",+12462501234,tel:+1-246-250-1234
BN,673,"(?:22[89]|[78]\d\d)\d{4}",,,,"712 3456","+673 712 3456",+6737123456,tel:+673-712-3456
BT,975,"(?:1[67]|[78]7)\d{6}",8,,,"17 12 34 56","+975 17 12 34 56",+97517123456,tel:+975-17-12-34-56
BW,267,"(?:321|7[1-8]\d)\d{5}",8,,,"71 123 456","+267 71 123 456",+26771123456,tel:+267-71-123-456
CF,236,"7[024-7]\d{6}",,,,"70 01 23 45","+236 70 01 23 45",+23670012345,tel:+236-70-01-23-45
CA,1,"(?:2(?:04|[23]6|[48]9|5[07]|63)|3(?:06|43|54|6[578]|82)|4(?:03|1[68]|[26]8|3[178]|50|74)|5(?:06|1[49]|48|79|8[147])|6(?:04|[18]3|39|47|72)|7(?:0[59]|42|53|78|8[02])|8(?:[06]7|19|25|7[39])|9(?:0[25]|42))[2-9]\d{6}",10,,,"(506) 234-5678","+1 506-234-5678",+15062345678,tel:+1-506-234-5678
CC,61,"4(?:79[01]|83[0-389]|94[0-478])\d{5}|4(?:[0-36]\d|4[047-9]|[58][0-24-9]|7[02-8]|9[0-37-9])\d{6}",9,,,"0412 345 678","+61 412 345 678",+61412345678,tel:+61-412-345-678
CH,41,"(?:6[89]|7[235-9])\d{7}",9,,,"078 123 45 67","+41 78 123 45 67",+41781234567,tel:+41-78-123-45-67
CL,56,"2(?:1982[0-6]|3314[05-9])\d{3}|(?:2(?:1(?:160|962)|2\d{3}|3(?:(?:2\d|50)\d|3(?:[03467]\d|1[0-35-9]|2[1-9]|5[0-24-9]|8[0-389]|9[0-8])|600)|646[59])|(?:(?:3[2-5]|[47][1-35]|5[1-3578]|6[13-57])\d|8(?:0[1-8]|[1-9]\d))\d\d|9(?:(?:10[01]|(?:[2458]\d|7[1-9])\d)\d|3(?:[0-57-9]\d\d|6(?:0[02-9]|[1-9]\d))|6(?:[0-8]\d\d|9(?:[02-79]\d|1[05-9]))|9(?:[03-9]\d\d|1(?:[0235-9]\d|4[0-24-9])|2(?:[0-79]\d|8[0-46-9]))))\d{4}",9,,,"(2) 2123 4567","+56 2 2123 4567",+56221234567,tel:+56-2-2123-4567
CN,86,"1740[0-5]\d{6}|1(?:[38]\d|4[57]|[59][0-35-9]|6[25-7]|7[0-35-8])\d{8}",11,,,"131 2345 6789","+86 131 2345 6789",+8613123456789,tel:+86-131-2345-6789
CI,225,"0[157]\d{8}",,,,"01 23 45 6789","+225 01 23 45 6789",+2250123456789,tel:+225-01-23-45-6789
CM,237,"(?:24[23]|6(?:[25-9]\d|40))\d{6}",9,,,"6 71 23 45 67","+237 6 71 23 45 67",+237671234567,tel:+237-6-71-23-45-67
CD,243,"88\d{5}|(?:8[0-69]|9[017-9])\d{7}","7, 9",,,"0991 234 567","+243 991 234 567",+243991234567,tel:+243-991-234-567
CG,242,"026(?:1[0-5]|6[6-9])\d{4}|0(?:[14-6]\d\d|2(?:40|5[5-8]|6[07-9]))\d{5}",,,,"06 123 4567","+242 06 123 4567",+242061234567,tel:+242-06-123-4567
CK,682,"[578]\d{4}",,,,"71 234","+682 71 234",+68271234,tel:+682-71-234
CO,57,"333301[0-5]\d{3}|3333(?:00|2[5-9]|[3-9]\d)\d{4}|(?:3(?:(?:0[0-5]|1\d|5[01]|70)\d|2(?:[0-3]\d|4[1-9])|3(?:00|3[0-24-9]))|9(?:101|408))\d{6}",10,,,"321 1234567","+57 321 1234567",+573211234567,tel:+57-321-1234567
KM,269,"[34]\d{6}",,,,"321 23 45","+269 321 23 45",+2693212345,tel:+269-321-23-45
CV,238,"(?:36|5[1-389]|9\d)\d{5}",,,,"991 12 34","+238 991 12 34",+2389911234,tel:+238-991-12-34
CR,506,"(?:3005\d|6500[01])\d{3}|(?:5[07]|6[0-4]|7[0-3]|8[3-9])\d{6}",8,,,"8312 3456","+506 8312 3456",+50683123456,tel:+506-8312-3456
CU,53,"(?:5\d|6[2-4])\d{6}",8,,,"05 1234567","+53 5 1234567",+5351234567,tel:+53-5-1234567
CX,61,"4(?:79[01]|83[0-389]|94[0-478])\d{5}|4(?:[0-36]\d|4[047-9]|[58][0-24-9]|7[02-8]|9[0-37-9])\d{6}",9,,,"0412 345 678","+61 412 345 678",+61412345678,tel:+61-412-345-678
KY,1,"345(?:32[1-9]|42[0-4]|5(?:1[67]|2[5-79]|4[6-9]|50|76)|649|82[56]|9(?:1[679]|2[2-9]|3[06-9]|90))\d{4}",,,,"(345) 323-1234","+1 345-323-1234",+13453231234,tel:+1-345-323-1234
CY,357,"9(?:10|[4-79]\d)\d{5}",,,,"96 123456","+357 96 123456",+35796123456,tel:+357-96-123456
CZ,420,"7(?:060\d|19(?:[0-4]\d|50))\d{4}|(?:60[1-8]|7(?:0[2-5]|[2379]\d))\d{6}",9,,,"601 123 456","+420 601 123 456",+420601123456,tel:+420-601-123-456
DE,49,"1(?:(?:5(?:[0-25-9]\d\d|3(?:10|33))|7[26-9]\d\d)\d{6}|6[023]\d{7,8})|17\d{8}","10, 11",,,"01512 3456789","+49 1512 3456789",+4915123456789,tel:+49-1512-3456789
DJ,253,"77\d{6}",,,,"77 83 10 01","+253 77 83 10 01",+25377831001,tel:+253-77-83-10-01
DM,1,"767(?:2(?:[2-4689]5|7[5-7])|31[5-7]|61[1-8]|70[1-6])\d{4}",,,,"(767) 225-1234","+1 767-225-1234",+17672251234,tel:+1-767-225-1234
DK,45,"(?:2[6-8]|37|6[78]|96)\d{6}|(?:2[0-59]|3[0-689]|[457]\d|6[0-69]|8[126-9]|9[1-47-9])[1-9]\d{5}",,,,"34 41 23 45","+45 34 41 23 45",+4534412345,tel:+45-34-41-23-45
DO,1,"8[024]9[2-9]\d{6}",,,,"(809) 234-5678","+1 809-234-5678",+18092345678,tel:+1-809-234-5678
DZ,213,"(?:5(?:4[0-29]|5\d|6[0-3])|6(?:[569]\d|7[0-6])|7[7-9]\d)\d{6}",9,,,"0551 23 45 67","+213 551 23 45 67",+213551234567,tel:+213-551-23-45-67
EC,593,"964[0-2]\d{5}|9(?:39|[57][89]|6[0-36-9]|[89]\d)\d{6}",9,,,"099 123 4567","+593 99 123 4567",+593991234567,tel:+593-99-123-4567
EG,20,"1[0-25]\d{8}",10,,,"010 01234567","+20 10 01234567",+201001234567,tel:+20-10-01234567
ER,291,"(?:17[1-3]|7\d\d)\d{4}",,,,"07 123 456","+291 7 123 456",+2917123456,tel:+291-7-123-456
EH,212,"(?:6(?:[0-79]\d|8[0-247-9])|7(?:[0167]\d|2[0-8]|5[0-5]|8[0-7]))\d{6}",,,,0650-123456,"+212 650-123456",+212650123456,tel:+212-650-123456
ES,34,"(?:590[16]00\d|9(?:6906(?:09|10)|7390\d\d))\d\d|(?:6\d|7[1-48])\d{7}",,,,"612 34 56 78","+34 612 34 56 78",+34612345678,tel:+34-612-34-56-78
EE,372,"(?:5\d{5}|8(?:1(?:0(?:0(?:00|[178]\d)|[3-9]\d\d)|(?:1(?:0[2-6]|1\d)|(?:2[0-59]|[3-79]\d)\d)\d)|2(?:0(?:0(?:00|4\d)|(?:19|[2-7]\d)\d)|(?:(?:[124-69]\d|3[5-9])\d|7(?:[0-79]\d|8[13-9])|8(?:[2-6]\d|7[01]))\d)|[349]\d{4}))\d\d|5(?:(?:[02]\d|5[0-478])\d|1(?:[0-8]\d|95)|6(?:4[0-4]|5[1-589]))\d{3}","7, 8",,,"5123 4567","+372 5123 4567",+37251234567,tel:+372-5123-4567
ET,251,"700[1-9]\d{5}|(?:7(?:0[1-9]|1[0-8]|22|77|86|99)|9\d\d)\d{6}",,,,"091 123 4567","+251 91 123 4567",+251911234567,tel:+251-91-123-4567
FI,358,"4946\d{2,6}|(?:4[0-8]|50)\d{4,8}","6, 7, 8, 9, 10",,,"041 2345678","+358 41 2345678",+358412345678,tel:+358-41-2345678
FJ,679,"(?:[279]\d|45|5[01568]|8[034679])\d{5}",7,,,"701 2345","+679 701 2345",+6797012345,tel:+679-701-2345
FK,500,"[56]\d{4}",,,,51234,"+500 51234",+50051234,tel:+500-51234
FR,33,"(?:6(?:[0-24-8]\d|3[0-8]|9[589])|7[3-9]\d)\d{6}",,,,"06 12 34 56 78","+33 6 12 34 56 78",+33612345678,tel:+33-6-12-34-56-78
FO,298,"(?:[27][1-9]|5\d|9[16])\d{4}",,,,211234,"+298 211234",+298211234,tel:+298-211234
FM,691,"31(?:00[67]|208|309)\d\d|(?:3(?:[2357]0[1-9]|602|804|905)|(?:820|9[2-7]\d)\d)\d{3}",,,,"350 1234","+691 350 1234",+6913501234,tel:+691-350-1234
GA,241,"(?:(?:0[2-7]|7[467])\d|6(?:0[0-4]|10|[256]\d))\d{5}|[2-7]\d{6}",,,,"06 03 12 34","+241 06 03 12 34",+24106031234,tel:+241-06-03-12-34
GB,44,"7(?:457[0-57-9]|700[01]|911[028])\d{5}|7(?:[1-3]\d\d|4(?:[0-46-9]\d|5[0-689])|5(?:0[0-8]|[13-9]\d|2[0-35-9])|7(?:0[1-9]|[1-7]\d|8[02-9]|9[0-689])|8(?:[014-9]\d|[23][0-8])|9(?:[024-9]\d|1[02-9]|3[0-689]))\d{6}",10,,,"07400 123456","+44 7400 123456",+447400123456,tel:+44-7400-123456
GE,995,"5(?:(?:(?:0555|1(?:[17]77|555))[5-9]|757(?:7[7-9]|8[01]))\d|22252[0-4])\d\d|5(?:0(?:0[17]0|505)|1(?:0[01]0|1(?:07|33|51))|2(?:0[02]0|2[25]2)|3(?:0[03]0|3[35]3)|(?:40[04]|900)0|5222)[0-4]\d{3}|(?:5(?:0(?:0(?:0\d|11|22|3[0-6]|44|5[05]|77|88|9[09])|(?:[14]\d|77)\d|22[02])|1(?:1(?:[03][01]|[124]\d|5[2-6]|7[0-4])|4\d\d)|[23]555|4(?:4\d\d|555)|5(?:[0157-9]\d\d|200|333|444)|6[89]\d\d|7(?:[0147-9]\d\d|5(?:00|[57]5))|8(?:0(?:[018]\d|2[0-4])|5(?:55|8[89])|8(?:55|88))|9(?:090|[1-35-9]\d\d))|790\d\d)\d{4}",,,,"555 12 34 56","+995 555 12 34 56",+995555123456,tel:+995-555-12-34-56
GG,44,"7(?:(?:781|839)\d|911[17])\d{5}",10,,,"07781 123456","+44 7781 123456",+447781123456,tel:+44-7781-123456
GH,233,"(?:2(?:[0346-9]\d|5[67])|5(?:[03-7]\d|9[1-9]))\d{6}",9,,,"023 123 4567","+233 23 123 4567",+233231234567,tel:+233-23-123-4567
GI,350,"5251[0-4]\d{3}|(?:5(?:[146-8]\d\d|250)|60(?:1[01]|6\d))\d{4}",,,,57123456,"+350 57123456",+35057123456,tel:+350-57123456
GN,224,"6[0-356]\d{7}",9,,,"601 12 34 56","+224 601 12 34 56",+224601123456,tel:+224-601-12-34-56
GP,590,"(?:69(?:0\d\d|1(?:2[2-9]|3[0-5])|4(?:0[89]|1[2-6]|9\d)|6(?:1[016-9]|5[0-4]|[67]\d))|7090[0-4])\d{4}",,,,"0690 00 12 34","+590 690 00 12 34",+590690001234,tel:+590-690-00-12-34
GM,220,"556\d{4}|(?:[23679]\d|4[015]|5[0-489]|8[67])\d{5}",,,,"301 2345","+220 301 2345",+2203012345,tel:+220-301-2345
GW,245,"9(?:5\d|6[569]|77)\d{6}",9,,,"955 012 345","+245 955 012 345",+245955012345,tel:+245-955-012-345
GQ,240,"(?:222|55\d)\d{6}",,,,"222 123 456","+240 222 123 456",+240222123456,tel:+240-222-123-456
GR,30,"68[57-9]\d{7}|(?:69|94)\d{8}",10,,,"691 234 5678","+30 691 234 5678",+306912345678,tel:+30-691-234-5678
GD,1,"473(?:4(?:0[2-79]|1[04-9]|2[0-5]|49|5[6-8])|5(?:2[01]|3[3-8])|901)\d{4}",,,,"(473) 403-1234","+1 473-403-1234",+14734031234,tel:+1-473-403-1234
GL,299,"[245]\d{5}",,,,"22 12 34","+299 22 12 34",+299221234,tel:+299-22-12-34
GT,502,"(?:[3-5]\d\d|80[0-4])\d{5}",8,,,"5123 4567","+502 5123 4567",+50251234567,tel:+502-5123-4567
GF,594,"(?:694(?:[0-249]\d|3[0-8])|7093[0-3])\d{4}",,,,"0694 20 12 34","+594 694 20 12 34",+594694201234,tel:+594-694-20-12-34
GU,1,"671(?:2\d\d|3(?:00|3[39]|4[349]|55|6[26])|4(?:00|56|7[1-9]|8[02-9])|5(?:55|6[2-5]|88)|6(?:3[2-578]|4[24-9]|5[34]|78|8[235-9])|7(?:[0479]7|2[0167]|3[45]|8[7-9])|8(?:[2-57-9]8|6[478])|9(?:2[29]|6[79]|7[1279]|8[7-9]|9[78]))\d{4}",,,,"(671) 300-1234","+1 671-300-1234",+16713001234,tel:+1-671-300-1234
GY,592,"(?:51[01]|6\d\d|7(?:[0-5]\d|6[0-39]|70))\d{4}",,,,"609 1234","+592 609 1234",+5926091234,tel:+592-609-1234
HK,852,"(?:4(?:44[0-35-9]|6(?:4[0-57-9]|6[0-4])|7(?:3[0-4]|4[0-48]|6[0-5]))|5(?:35[4-8]|73[0-6]|95[0-8])|6(?:26[013-8]|(?:66|78)[0-5])|70(?:7[1-8]|8[0-8])|84(?:4[0-2]|8[0-35-9])|9(?:29[013-9]|39[014-9]|59[0-4]|899))\d{4}|(?:4(?:4[0-35-9]|6[0-357-9]|7[0-25])|5(?:[1-59][0-46-9]|6[0-4689]|7[0-246-9])|6(?:0[1-9]|[13-59]\d|[268][0-57-9]|7[0-79])|70[1-59]|84[0-39]|9(?:0[1-9]|1[02-9]|[2358][0-8]|[467]\d))\d{5}",8,,,"5123 4567","+852 5123 4567",+85251234567,tel:+852-5123-4567
HM,,,,,,,,,
HN,504,"[37-9]\d{7}",8,,,9123-4567,"+504 9123-4567",+50491234567,tel:+504-9123-4567
HR,385,"9(?:(?:0[1-9]|[12589]\d)\d\d|7(?:[0679]\d\d|5(?:[01]\d|44|55|77|9[5-79])))\d{4}|98\d{6}","8, 9",,,"092 123 4567","+385 92 123 4567",+385921234567,tel:+385-92-123-4567
HT,509,"(?:[34]\d|5[56])\d{6}",,,,"34 10 1234","+509 34 10 1234",+50934101234,tel:+509-34-10-1234
HU,36,"(?:[257]0|3[01])\d{7}",9,,,"06 20 123 4567","+36 20 123 4567",+36201234567,tel:+36-20-123-4567
ID,62,"8[1-35-9]\d{7,10}","9, 10, 11, 12",,,0812-345-678,"+62 812-345-678",+62812345678,tel:+62-812-345-678
IM,44,"76245[06]\d{4}|7(?:4576|[59]24\d|624[0-4689])\d{5}",,,,"07924 123456","+44 7924 123456",+447924123456,tel:+44-7924-123456
