code,male,female
AW,أروبي,أروبية
AF,أفغاني,أفغانية
AO,أنغولي,أنغولية
AI,أنغيلي,أنغيلية
AX,آلندي,آلندية
AL,ألباني,ألبانية
AD,أندوري,أندورية
AE,إماراتي,إماراتية
AR,أرجنتيني,أرجنتينية
AM,أرميني,أرمينية
AS,ساموي,ساموية
AG,"أنتيغوي وباربودي","أنتيغوية وباربودية"
AU,أسترالي,أسترالية
AT,نمساوي,نمساوية
AZ,أذربيجاني,أذربيجانية
BI,بوروندي,بوروندية
BE,بلجيكي,بلجيكية
BJ,بنيني,بنينية
BF,بوركيني,بوركينية
BD,بنغلاديشي,بنغلاديشية
BG,بلغاري,بلغارية
BH,بحريني,بحرينية
BS,بهامي,بهامية
BA,بوسني,بوسنية
BL,بارتيليمي,بارتيليمية
SH,"سانت هيليني","سانت هيلينية"
BY,بيلاروسي,بيلاروسية
BZ,بليزي,بليزية
BM,برمودي,برمودية
BO,بوليفي,بوليفية
BR,برازيلي,برازيلية
BB,بربادوسي,بربادوسية
BN,بروني,برونية
BT,بوتاني,بوتانية
BW,بوتسواني,بوتسوانية
CF,"أفريقي وسطي","أفريقية وسطية"
CA,كندي,كندية
CC,كوكوسي,كوكوسية
CH,سويسري,سويسرية
CL,تشيلي,تشيليّة
CN,صيني,صينية
CI,إيفواري,إيفوارية
CM,كاميروني,كاميرونية
CD,كونغولي,كونغولية
CG,كونغولي,كونغولية
CK,كوكي,كوكية
CO,كولومبي,كولومبية
KM,قمري,قمرية
CV,"رأس أخضري","رأس أخضرية"
CR,كوستاريكي,كوستاريكية
CU,كوبي,كوبية
CX,كريسماسي,كريسماسية
KY,كايماني,كايمانية
CY,قبرصي,قبرصية
CZ,تشيكي,تشيكية
DE,ألماني,ألمانية
DJ,جيبوتي,جيبوتية
DM,دومينيكي,دومينيكية
DK,دنماركي,دنماركية
DO,دومينيكاني,دومينيكانية
DZ,جزائري,جزائرية
EC,إكوادوري,إكوادورية
EG,مصري,مصرية
ER,إريتري,إريترية
EH,صحراوي,صحراوية
ES,إسباني,إسبانية
EE,إستوني,إستونية
ET,إثيوبي,إثيوبية
FI,فنلندي,فنلندية
FJ,فيجي,فيجية
FK,فوكلاندي,فوكلاندية
FR,فرنسي,فرنسية
FO,فاروئي,فاروئية
FM,ميكرونيزي,ميكرونيزية
GA,غابوني,غابونية
GB,بريطاني,بريطانية
GE,جورجي,جورجية
GG,غيرنسي,غيرنسية
GH,غاني,غانية
GI,"جبل طارقي","جبل طارقية"
GN,غيني,غينية
GP,غوادلوبي,غوادلوبية
GM,غامبي,غامبية
GW,"غيني بيساوي","غينية بيساوية"
GQ,"غيني استوائي","غينية استوائية"
GR,يوناني,يونانية
GD,غرينادي,غرينادية
GL,جرينلاندي,جرينلاندية
GT,غواتيمالي,غواتيمالية
GF,غياني,غيانية
GU,غوامي,غوامية
GY,غياني,غيانية
HK,"هونغ كونغي","هونغ كونغية"
HM,هردي,هردية
HN,هندوراسي,هندوراسية
HR,كرواتي,كرواتية
HT,هايتي,هايتية
HU,مجري,مجرية
ID,إندونيسي,إندونيسية
IM,ماني,مانية
IN,هندي,هندية
IO,"هندي محيطي","هندية محيطية"
IE,إيرلندي,إيرلندية
IR,إيراني,إيرانية
IQ,عراقي,عراقية
IS,آيسلندي,آيسلندية
IL,فلسطيني,فلسطينية
IT,إيطالي,إيطالية
JM,جامايكي,جامايكية
JE,جيرسي,جيرسية
JO,أردني,أردنية
JP,ياباني,يابانية
KZ,كازاخستاني,كازاخستانية
KE,كيني,كينية
KG,قرغيزي,قرغيزية
KH,كمبودي,كمبودية
KI,كيريباتي,كيريباتية
KN,"سانت كيتسي ونيفيسي","سانت كيتسية ونيفيسية"
KR,"كوري جنوبي","كورية جنوبية"
XK,كوسوفي,كوسوفية
KW,كويتي,كويتية
LA,لاوسي,لاوسية
LB,لبناني,لبنانية
LR,ليبيري,ليبيرية
LY,ليبي,ليبية
LC,"سانت لوسي","سانت لوسية"
LI,ليختنشتايني,ليختنشتاينية
LK,سريلانكي,سريلانكية
LS,ليسوثي,ليسوثية
LT,ليتواني,ليتوانية
LU,لوكسمبورغي,لوكسمبورغية
LV,لاتفي,لاتفية
MO,ماكاوي,ماكاوية
MF,"سانت مارتيني","سانت مارتينية"
MA,مغربي,مغربية
MC,موناكي,موناكية
MD,مولدوفي,مولدوفية
MG,مدغشقري,مدغشقرية
MV,مالديفي,مالديفية
MX,مكسيكي,مكسيكية
MH,مارشالي,مارشالية
MK,مقدوني,مقدونية
ML,مالي,مالية
MT,مالطي,مالطية
MM,ميانماري,ميانمارية
ME,مونتينيغري,مونتينيغرية
MN,منغولي,منغولية
MP,"مارياني شمالي","ماريانية شمالية"
MZ,موزمبيقي,موزمبيقية
MR,موريتاني,موريتانية
MS,مونتسيراتي,مونتسيراتية
MQ,مارتينيكي,مارتينيكية
MU,موريشيوسي,موريشيوسية
MW,مالاوي,مالاوية
MY,ماليزي,ماليزية
YT,مايوتي,مايوتية
NA,ناميبي,ناميبية
NC,"كاليدوني جديد","كاليدونية جديدة"
NE,نيجري,نيجرية
NF,نورفولكي,نورفولكية
NG,نيجيري,نيجيرية
NI,نيكاراغوي,نيكاراغوية
NU,نييوي,نييوية
NL,هولندي,هولندية
NO,نرويجي,نرويجية
NP,نيبالي,نيبالية
NR,ناوروي,ناوروية
NZ,نيوزيلندي,نيوزيلندية
OM,عماني,عمانية
PK,باكستاني,باكستانية
PA,بنمي,بنمية
PN,بيتكيرني,بيتكيرنية
PE,بيروفي,بيروفية
PH,فلبيني,فلبينية
PW,بالاوي,بالاوية
PG,"بابوا غينيا الجديدة","بابوا غينيا الجديدة"
PL,بولندي,بولندية
PR,بورتوريكي,بورتوريكية
KP,"كوري شمالي","كورية شمالية"
PT,برتغالي,برتغالية
PY,باراغواياني,باراغوايانية
PS,فلسطيني,فلسطينية
PF,بولينيزي,بولينيزية
QA,قطري,قطرية
RE,ريونيوني,ريونيونية
RO,روماني,رومانية
RU,روسي,روسية
RW,رواندي,رواندية
SA,سعودي,سعودية
SD,سوداني,سودانية
SN,سنغالي,سنغالية
SG,سنغافوري,سنغافورية
GS,"جورجي جنوبي","جورجية جنوبية"
SJ,سفالباردي,سفالباردية
SB,"جزر سليماني","جزر سليمانية"
SL,سيراليوني,سيراليونية
SV,سلفادوري,سلفادورية
SM,"سان ماريني","سان مارينية"
SO,صومالي,صومالية
PM,"سان بيير وميكلوني","سان بيير وميكلونية"
RS,صربي,صربية
SS,"جنوب سوداني","جنوب سودانية"
ST,"ساو تومي","ساو تومية"
SR,سورينامي,سورينامية
SK,سلوفاكي,سلوفاكية
SI,سلوفيني,سلوفينية
SE,سويدي,سويدية
SZ,سوازي,سوازية
SC,سيشلي,سيشلية
SY,سوري,سورية
TC,"توركسي كايكوسي","توركسية كايكوسية"
TD,تشادي,تشادية
TG,توغولي,توغولية
TH,تايلاندي,تايلاندية
TJ,طاجيكي,طاجيكية
TK,توكيلاوي,توكيلاوية
TM,تركماني,تركمانية
TL,"تيموري شرقي","تيمورية شرقية"
TO,تونغي,تونغية
TT,ترينيدادي,ترينيدادية
TN,تونسي,تونسية
TR,تركي,تركية
TV,توفالي,توفالية
TW,تايواني,تايوانية
TZ,تنزاني,تنزانية
UG,أوغندي,أوغندية
UA,أوكراني,أوكرانية
UM,"أمريكي جزري","أمريكية جزرية"
UY,أورغواياني,أورغوايانية
US,أمريكي,أمريكية
UZ,أوزبكي,أوزبكية
VA,فاتيكان,فاتيكانية
VC,"سانت فنسنتي","سانت فنسنتية"
VE,فنزويلي,فنزويلية
VG,"فيرجيني بريطاني","فيرجينية بريطانية"
