code,male,female
AW,Aruber,Aruberin
AF,Afghane,Afghanin
AO,Angolaner,Angolanerin
AI,Anguillaner,Anguillanerin
AX,Åländer,Åländerin
AL,Albaner,Albanerin
AD,Andorraner,Andorranerin
AE,Emirater,Emiraterin
AR,Argentinier,Argentinierin
AM,Armenier,Armenierin
AS,Samoaner,Samoanerin
AG,"Antiguaner und Barbudaner","Antiguanerin und Barbudanerin"
AU,Australier,Australierin
AT,Österreicher,Österreicherin
AZ,Aserbaidschaner,Aserbaidschanerin
BI,Burundier,Burundierin
BE,Belgier,Belgierin
BJ,Beniner,Beninerin
BF,Burkiner,Burkinerin
BD,Bangladescher,Bangladescherin
BG,Bulgare,Bulgarin
BH,Bahrainer,Bahrainerin
BS,Bahamianer,Bahamianerin
BA,Bosnier,Bosnierin
BL,Barthélemyer,Barthélemyerin
SH,Sankt-Helenianer,Sankt-Helenianerin
BY,Weißrusse,Weißrussin
BZ,Belizer,Belizerin
BM,Bermuder,Bermuderin
BO,Bolivianer,Bolivianerin
BR,Brasilianer,Brasilianerin
BB,Barbadier,Barbadierin
BN,Bruneier,Bruneierin
BT,Bhutaner,Bhutanerin
BW,Botswaner,Botswanerin
CF,Zentralafrikaner,Zentralafrikanerin
CA,Kanadier,Kanadierin
CC,Kokosinsulaner,Kokosinsulanerin
CH,Schweizer,Schweizerin
CL,Chilene,Chilenin
CN,Chinese,Chinesin
CI,Ivorer,Ivorerin
CM,Kameruner,Kamerunerin
CD,Kongolese,Kongolesin
CG,Kongolese,Kongolesin
CK,Cookinsulaner,Cookinsulanerin
CO,Kolumbianer,Kolumbianerin
KM,Komorer,Komorerin
CV,Kapverdier,Kapverdierin
CR,Costa-Ricaner,Costa-Ricanerin
CU,Kubaner,Kubanerin
CX,Weihnachtsinsulaner,Weihnachtsinsulanerin
KY,Kaimanier,Kaimanierin
CY,Zyprer,Zyprerin
CZ,Tscheche,Tschechin
DE,Deutscher,Deutsche
DJ,Dschibutier,Dschibutierin
DM,Dominicaner,Dominicanerin
DK,Däne,Dänin
DO,Dominikaner,Dominikanerin
DZ,Algerier,Algerierin
EC,Ecuadorianer,Ecuadorianerin
EG,Ägypter,Ägypterin
ER,Eritreer,Eritreerin
EH,Sahrauer,Sahrauerin
ES,Spanier,Spanierin
EE,Este,Estin
ET,Äthiopier,Äthiopierin
FI,Finne,Finnin
FJ,Fidschianer,Fidschianerin
FK,Falkländer,Falkländerin
FR,Franzose,Französin
FO,Färinger,Färingerin
FM,Mikronesier,Mikronesierin
GA,Gabuner,Gabunerin
GB,Brite,Britin
GE,Georgier,Georgierin
GG,Guernseyer,Guernseyerin
GH,Ghanaer,Ghanaerin
GI,Gibraltarer,Gibraltarin
GN,Guineer,Guineerin
GP,Guadeloupeaner,Guadeloupeanerin
GM,Gambier,Gambierin
GW,Bissau-Guineer,Bissau-Guineerin
GQ,Äquatorialguineer,Äquatorialguineerin
GR,Grieche,Griechin
GD,Grenader,Grenaderin
GL,Grönländer,Grönländerin
GT,Guatemalteke,Guatemaltekin
GF,Guayanaer,Guayanaerin
GU,Guamaner,Guamanerin
GY,Guyaner,Guyanerin
HK,Hongkonger,Hongkongerin
HM,Heard-Insulaner,Heard-Insulanerin
HN,Honduraner,Honduranerin
HR,Kroate,Kroatin
HT,Haitianer,Haitianerin
HU,Ungar,Ungarin
ID,Indonesier,Indonesierin
IM,Manx,Manx
IN,Inder,Inderin
IO,"Britisch-Indischer Ozeaner","Britisch-Indische Ozeanerin"
IE,Ire,Ir(in)
IR,Iraner,Iranerin
IQ,Iraker,Irakerin
IS,Isländer,Isländerin
IL,Palästinenser,Palästinenserin
IT,Italiener,Italienerin
JM,Jamaikaner,Jamaikanerin
JE,Jerseyer,Jerseyerin
JO,Jordanier,Jordanierin
JP,Japaner,Japanerin
KZ,Kasache,Kasachin
KE,Kenianer,Kenianerin
KG,Kirgisier,Kirgisierin
KH,Kambodschaner,Kambodschanerin
KI,Kiribatier,Kiribatierin
KN,"Kittitianer und Neviser","Kittitianerin und Neviserin"
KR,Südkoreaner,Südkoreanerin
XK,Kosovare,Kosovarin
KW,Kuwaiter,Kuwaiterin
LA,Laote,Laotin
LB,Libanese,Libanesin
LR,Liberianer,Liberianerin
LY,Libyer,Libyerin
LC,Saint-Lucianer,Saint-Lucianerin
LI,Liechtensteiner,Liechtensteinerin
LK,Sri-Lanker,Sri-Lankerin
LS,Lesother,Lesotherin
LT,Litauer,Litauerin
LU,Luxemburger,Luxemburgerin
LV,Lette,Lettin
MO,Macanese,Macanesin
MF,Saint-Martiner,Saint-Martinerin
MA,Marokkaner,Marokkanerin
MC,Monegasse,Monegassin
MD,Moldauer,Moldauerin
MG,Madagasse,Madagassin
MV,Malediver,Malediverin
MX,Mexikaner,Mexikanerin
MH,Marshallese,Marshallese
MK,Mazedonier,Mazedonierin
ML,Mali,Mali
MT,Malteser,Malteserin
MM,Myanmare,Myanmarin
ME,Montenegriner,Montenegrinerin
MN,Mongole,Mongolin
MP,"Nördlicher Marianer","Nördliche Marianerin"
MZ,Mosambikaner,Mosambikanerin
MR,Mauretanier,Mauretanierin
MS,Montserratier,Montserratierin
MQ,Martiniquer,Martiniquerin
MU,Mauritier,Mauritierin
MW,Malawier,Malawierin
MY,Malaysier,Malaysierin
YT,Mahorer,Mahorerin
NA,Namibier,Namibierin
NC,Neukaledonier,Neukaledonierin
NE,Nigrer,Nigrerin
NF,Norfolkinsulaner,Norfolkinsulanerin
NG,Nigerianer,Nigerianerin
