code,male,female
AW,अरूबाई,अरूबाई
AF,अफ़ग़ान,अफ़ग़ान
AO,अंगोला,अंगोला
AI,एंग्विलाई,एंग्विलाई
AX,"एलैंड द्वीपवासी","एलैंड द्वीपवासी"
AL,अल्बानियाई,अल्बानियाई
AD,अंडोर्रन,अंडोर्रन
AE,"संयुक्त अरब अमीराती","संयुक्त अरब अमीराती"
AR,अर्जेंटीनी,अर्जेंटीनी
AM,आर्मीनियाई,आर्मीनियाई
AS,"अमेरिकी समोआई","अमेरिकी समोआई"
AG,"एंटीगुआ और बारबुडा","एंटीगुआ और बारबुडा"
AU,ऑस्ट्रेलियाई,ऑस्ट्रेलियाई
AT,ऑस्ट्रियाई,ऑस्ट्रियाई
AZ,अज़रबैजानी,अज़रबैजानी
BI,बुरुंडी,बुरुंडी
BE,बेल्जियन,बेल्जियन
BJ,बेनिन,बेनिन
BF,बुर्किनाबी,बुर्किनाबी
BD,बांग्लादेशी,बांग्लादेशी
BG,बुल्गारियाई,बुल्गारियाई
BH,बहरीनी,बहरीनी
BS,बहामाई,बहामाई
BA,बोस्नियाई,बोस्नियाई
BL,"सेंट बार्थेलेमी","सेंट बार्थेलेमी"
SH,"सेंट हेलेना","सेंट हेलेना"
BY,बेलारूसी,बेलारूसी
BZ,बेलीज़ी,बेलीज़ी
BM,बरमूडा,बरमूडा
BO,बोलिवियाई,बोलिवियाई
BR,ब्राज़ीली,ब्राज़ीली
BB,बारबेडियन,बारबेडियन
BN,ब्रूनेई,ब्रूनेई
BT,भूटानी,भूटानी
BW,बोत्सवाना,बोत्सवाना
CF,"मध्य अफ्रीकी","मध्य अफ्रीकी"
CA,कनाडाई,कनाडाई
CC,"कोकोस द्वीपवासी","कोकोस द्वीपवासी"
CH,स्विस,स्विस
CL,चिली,चिली
CN,चीनी,चीनी
CI,"आईवरी कोस्ट","आईवरी कोस्ट"
CM,कैमरून,कैमरून
CD,कांगो,कांगो
CG,कांगो,कांगो
CK,"कुक द्वीपवासी","कुक द्वीपवासी"
CO,कोलंबियाई,कोलंबियाई
KM,कोमोरियन,कोमोरियन
CV,"कैप वर्डियन","कैप वर्डियन"
CR,"कोस्टा रिकन","कोस्टा रिकन"
CU,क्यूबाई,क्यूबाई
CX,"क्रिसमस द्वीपवासी","क्रिसमस द्वीपवासी"
KY,"केमैन द्वीपवासी","केमैन द्वीपवासी"
CY,साइप्रस,साइप्रस
CZ,चेक,चेक
DE,जर्मन,जर्मन
DJ,जिबूती,जिबूती
DM,डोमिनिकन,डोमिनिकन
DK,डेनिश,डेनिश
DO,"डोमिनिकन गणराज्य","डोमिनिकन गणराज्य"
DZ,अल्जीरियाई,अल्जीरियाई
EC,इक्वाडोरियन,इक्वाडोरियन
EG,मिस्री,मिस्री
ER,एरीट्रियन,एरीट्रियन
EH,"पश्चिमी सहारा","पश्चिमी सहारा"
ES,स्पेनिश,स्पेनिश
EE,एस्टोनियाई,एस्टोनियाई
ET,इथियोपियाई,इथियोपियाई
FI,फिनिश,फिनिश
FJ,फिजियन,फिजियन
