code,male,female
AW,アルバ人,アルバ人
AF,アフガニスタン人,アフガニスタン人
AO,アンゴラ人,アンゴラ人
AI,アンギラ人,アンギラ人
AX,オーランド諸島人,オーランド諸島人
AL,アルバニア人,アルバニア人
AD,アンドラ人,アンドラ人
AE,アラブ首長国連邦人,アラブ首長国連邦人
AR,アルゼンチン人,アルゼンチン人
AM,アルメニア人,アルメニア人
AS,アメリカ領サモア人,アメリカ領サモア人
AG,アンティグア・バーブーダ人,アンティグア・バーブーダ人
AU,オーストラリア人,オーストラリア人
AT,オーストリア人,オーストリア人
AZ,アゼルバイジャン人,アゼルバイジャン人
BI,ブルンジ人,ブルンジ人
BE,ベルギー人,ベルギー人
BJ,ベナン人,ベナン人
BF,ブルキナファソ人,ブルキナファソ人
BD,バングラデシュ人,バングラデシュ人
BG,ブルガリア人,ブルガリア人
BH,バーレーン人,バーレーン人
BS,バハマ人,バハマ人
BA,ボスニア人,ボスニア人
BL,サン・バルテルミー人,サン・バルテルミー人
SH,セントヘレナ人,セントヘレナ人
BY,ベラルーシ人,ベラルーシ人
BZ,ベリーズ人,ベリーズ人
BM,バミューダ人,バミューダ人
BO,ボリビア人,ボリビア人
BR,ブラジル人,ブラジル人
BB,バルバドス人,バルバドス人
BN,ブルネイ人,ブルネイ人
BT,ブータン人,ブータン人
BW,ボツワナ人,ボツワナ人
CF,中央アフリカ人,中央アフリカ人
CA,カナダ人,カナダ人
CC,ココス諸島人,ココス諸島人
CH,スイス人,スイス人
CL,チリ人,チリ人
CN,中国人,中国人
CI,コートジボワール人,コートジボワール人
CM,カメルーン人,カメルーン人
CD,コンゴ民主共和国人,コンゴ民主共和国人
CG,コンゴ共和国人,コンゴ共和国人
CK,クック諸島人,クック諸島人
CO,コロンビア人,コロンビア人
KM,コモロ人,コモロ人
CV,カーボベルデ人,カーボベルデ人
CR,コスタリカ人,コスタリカ人
CU,キューバ人,キューバ人
CX,クリスマス島人,クリスマス島人
KY,ケイマン諸島人,ケイマン諸島人
CY,キプロス人,キプロス人
CZ,チェコ人,チェコ人
DE,ドイツ人,ドイツ人
DJ,ジブチ人,ジブチ人
DM,ドミニカ国人,ドミニカ国人
DK,デンマーク人,デンマーク人
DO,ドミニカ共和国人,ドミニカ共和国人
DZ,アルジェリア人,アルジェリア人
EC,エクアドル人,エクアドル人
EG,エジプト人,エジプト人
ER,エリトリア人,エリトリア人
EH,西サハラ人,西サハラ人
ES,スペイン人,スペイン人
EE,エストニア人,エストニア人
ET,エチオピア人,エチオピア人
FI,フィンランド人,フィンランド人
FJ,フィジー人,フィジー人
FK,フォークランド諸島人,フォークランド諸島人
FR,フランス人,フランス人
FO,フェロー諸島人,フェロー諸島人
FM,ミクロネシア人,ミクロネシア人
GA,ガボン人,ガボン人
GB,イギリス人,イギリス人
GE,ジョージア人,ジョージア人
GG,ガーンジー人,ガーンジー人
GH,ガーナ人,ガーナ人
GI,ジブラルタル人,ジブラルタル人
GN,ギニア人,ギニア人
GP,グアドループ人,グアドループ人
GM,ガンビア人,ガンビア人
GW,ギニアビサウ人,ギニアビサウ人
GQ,赤道ギニア人,赤道ギニア人
GR,ギリシャ人,ギリシャ人
GD,グレナダ人,グレナダ人
GL,グリーンランド人,グリーンランド人
GT,グアテマラ人,グアテマラ人
GF,仏領ギアナ人,仏領ギアナ人
GU,グアム人,グアム人
GY,ガイアナ人,ガイアナ人
HK,香港人,香港人
HM,ハード島・マクドナルド諸島人,ハード島・マクドナルド諸島人
HN,ホンジュラス人,ホンジュラス人
HR,クロアチア人,クロアチア人
HT,ハイチ人,ハイチ人
HU,ハンガリー人,ハンガリー人
ID,インドネシア人,インドネシア人
IM,マン島人,マン島人
IN,インド人,インド人
IO,英領インド洋地域人,英領インド洋地域人
IE,アイルランド人,アイルランド人
IR,イラン人,イラン人
IQ,イラク人,イラク人
IS,アイスランド人,アイスランド人
IL,イスラエル人,イスラエル人
IT,イタリア人,イタリア人
JM,ジャマイカ人,ジャマイカ人
JE,ジャージー人,ジャージー人
JO,ヨルダン人,ヨルダン人
JP,日本人,日本人
KZ,カザフスタン人,カザフスタン人
KE,ケニア人,ケニア人
KG,キルギス人,キルギス人
KH,カンボジア人,カンボジア人
KI,キリバス人,キリバス人
KN,セントクリストファー・ネイビス人,セントクリストファー・ネイビス人
KR,韓国人,韓国人
XK,コソボ人,コソボ人
KW,クウェート人,クウェート人
LA,ラオス人,ラオス人
LB,レバノン人,レバノン人
LR,リベリア人,リベリア人
LY,リビア人,リビア人
LC,セントルシア人,セントルシア人
LI,リヒテンシュタイン人,リヒテンシュタイン人
LK,スリランカ人,スリランカ人
LS,レソト人,レソト人
LT,リトアニア人,リトアニア人
LU,ルクセンブルク人,ルクセンブルク人
LV,ラトビア人,ラトビア人
MO,マカオ人,マカオ人
MF,サン・マルタン人,サン・マルタン人
MA,モロッコ人,モロッコ人
MC,モナコ人,モナコ人
MD,モルドバ人,モルドバ人
MG,マダガスカル人,マダガスカル人
MV,モルディブ人,モルディブ人
MX,メキシコ人,メキシコ人
MH,マーシャル諸島人,マーシャル諸島人
MK,北マケドニア人,北マケドニア人
ML,マリ人,マリ人
MT,マルタ人,マルタ人
MM,ミャンマー人,ミャンマー人
ME,モンテネグロ人,モンテネグロ人
MN,モンゴル人,モンゴル人
MP,北マリアナ諸島人,北マリアナ諸島人
MZ,モザンビーク人,モザンビーク人
MR,モーリタニア人,モーリタニア人
MS,モントセラト人,モントセラト人
MQ,マルティニーク人,マルティニーク人
MU,モーリシャス人,モーリシャス人
MW,マラウイ人,マラウイ人
MY,マレーシア人,マレーシア人
YT,マヨット人,マヨット人
NA,ナミビア人,ナミビア人
NC,ニューカレドニア人,ニューカレドニア人
NE,ニジェール人,ニジェール人
NF,ノーフォーク島人,ノーフォーク島人
NG,ナイジェリア人,ナイジェリア人
NI,ニカラグア人,ニカラグア人
NU,ニウエ人,ニウエ人
NL,オランダ人,オランダ人
NO,ノルウェー人,ノルウェー人
NP,ネパール人,ネパール人
NR,ナウル人,ナウル人
NZ,ニュージーランド人,ニュージーランド人
OM,オマーン人,オマーン人
PK,パキスタン人,パキスタン人
PA,パナマ人,パナマ人
PN,ピトケアン人,ピトケアン人
PE,ペルー人,ペルー人
PH,フィリピン人,フィリピン人
PW,パラオ人,パラオ人
PG,パプアニューギニア人,パプアニューギニア人
PL,ポーランド人,ポーランド人
PR,プエルトリコ人,プエルトリコ人
KP,北朝鮮人,北朝鮮人
PT,ポルトガル人,ポルトガル人
PY,パラグアイ人,パラグアイ人
PS,パレスチナ人,パレスチナ人
PF,フランス領ポリネシア人,フランス領ポリネシア人
QA,カタール人,カタール人
RE,レユニオン人,レユニオン人
RO,ルーマニア人,ルーマニア人
RU,ロシア人,ロシア人
RW,ルワンダ人,ルワンダ人
SA,サウジアラビア人,サウジアラビア人
SD,スーダン人,スーダン人
SN,セネガル人,セネガル人
SG,シンガポール人,シンガポール人
GS,サウスジョージア・サウスサンドウィッチ諸島人,サウスジョージア・サウスサンドウィッチ諸島人
SJ,スバールバル諸島人,スバールバル諸島人
SB,ソロモン諸島人,ソロモン諸島人
SL,シエラレオネ人,シエラレオネ人
SV,エルサルバドル人,エルサルバドル人
SM,サンマリノ人,サンマリノ人
SO,ソマリア人,ソマリア人
PM,サンピエール島・ミクロン島人,サンピエール島・ミクロン島人
RS,セルビア人,セルビア人
SS,南スーダン人,南スーダン人
ST,サントメ・プリンシペ人,サントメ・プリンシペ人
SR,スリナム人,スリナム人
SK,スロバキア人,スロバキア人
SI,スロベニア人,スロベニア人
SE,スウェーデン人,スウェーデン人
SZ,エスワティニ人,エスワティニ人
SC,セーシェル人,セーシェル人
SY,シリア人,シリア人
TC,タークス・カイコス諸島人,タークス・カイコス諸島人
TD,チャド人,チャド人
TG,トーゴ人,トーゴ人
TH,タイ人,タイ人
TJ,タジキスタン人,タジキスタン人
TK,トケラウ人,トケラウ人
TM,トルクメニスタン人,トルクメニスタン人
TL,東ティモール人,東ティモール人
TO,トンガ人,トンガ人
TT,トリニダード・トバゴ人,トリニダード・トバゴ人
TN,チュニジア人,チュニジア人
TR,トルコ人,トルコ人
TV,ツバル人,ツバル人
TW,台湾人,台湾人
TZ,タンザニア人,タンザニア人
UG,ウガンダ人,ウガンダ人
UA,ウクライナ人,ウクライナ人
UM,アメリカ領離島人,アメリカ領離島人
UY,ウルグアイ人,ウルグアイ人
US,アメリカ人,アメリカ人
UZ,ウズベキスタン人,ウズベキスタン人
VA,バチカン人,バチカン人
VC,セントビンセント及びグレナディーン諸島人,セントビンセント及びグレナディーン諸島人
VE,ベネズエラ人,ベネズエラ人
VG,イギリス領ヴァージン諸島人,イギリス領ヴァージン諸島人
VI,アメリカ領ヴァージン諸島人,アメリカ領ヴァージン諸島人
VN,ベトナム人,ベトナム人
VU,バヌアツ人,バヌアツ人
WF,ウォリス・フツナ人,ウォリス・フツナ人
WS,サモア人,サモア人
YE,イエメン人,イエメン人
ZA,南アフリカ人,南アフリカ人
ZM,ザンビア人,ザンビア人
ZW,ジンバブエ人,ジンバブエ人
