code,male,female
AW,Arubano,Arubana
AF,Afegão,Afegã
AO,Angolano,Angolana
AI,Anguilano,Anguilana
AX,Alandês,Alandesa
AL,Albanês,Albanesa
AD,Andorrano,Andorrana
AE,Emiradense,Emiradense
AR,Argentino,Argentina
AM,Armênio,Armênia
AS,Samoano,Samoana
AG,"Antiguano e barbudense","Antiguana e barbudense"
AU,Australiano,Australiana
AT,Austríaco,Austríaca
AZ,Azerbaijano,Azerbaijana
BI,Burundiano,Burundiana
BE,Belga,Belga
BJ,Beninense,Beninense
BF,Burquinês,Burquinesa
BD,Bangladês,Bangladesa
BG,Búlgaro,Búlgara
BH,Bareinita,Bareinita
BS,Bahamense,Bahamense
BA,Bósnio,Bósnia
BL,Barthélemyense,Barthélemyense
SH,Santa-helenense,Santa-helenense
BY,Bielorrusso,Bielorrussa
BZ,Belizenho,Belizenha
BM,Bermudense,Bermudense
BO,Boliviano,Boliviana
BR,Brasileiro,Brasileira
BB,Barbadiano,Barbadiana
BN,Bruneano,Bruneana
BT,Butanês,Butanesa
BW,Botsuanês,Botsuanesa
CF,Centro-africano,Centro-africana
CA,Canadense,Canadense
CC,Cocosense,Cocosense
CH,Suíço,Suíça
CL,Chileno,Chilena
CN,Chinês,Chinesa
CI,Marfinense,Marfinense
CM,Camaronês,Camaronesa
CD,Congolês,Congolesa
CG,Congolês,Congolesa
CK,Cookiano,Cookiana
CO,Colombiano,Colombiana
KM,Comorense,Comorense
CV,Cabo-verdiano,Cabo-verdiana
CR,Costarriquenho,Costarriquenha
CU,Cubano,Cubana
CX,Christmasense,Christmasense
KY,Caimanês,Caimanesa
CY,Cipriota,Cipriota
CZ,Tcheco,Tcheca
DE,Alemão,Alemã
DJ,Djibutiano,Djibutiana
DM,Dominicano,Dominicana
DK,Dinamarquês,Dinamarquesa
DO,Dominicano,Dominicana
DZ,Argelino,Argelina
EC,Equatoriano,Equatoriana
EG,Egípcio,Egípcia
ER,Eritreu,Eritreia
EH,Saariano,Saariana
ES,Espanhol,Espanhola
EE,Estoniano,Estoniana
ET,Etíope,Etíope
FI,Finlandês,Finlandesa
FJ,Fijiano,Fijiana
FK,Falklandês,Falklandesa
FR,Francês,Francesa
FO,Feroês,Feroesa
FM,Micronésio,Micronésia
GA,Gabonês,Gabonensa
GB,Britânico,Britânica
GE,Georgiano,Georgiana
GG,Guernesiano,Guernesiana
GH,Ganês,Ganeana
GI,Gibraltino,Gibraltina
GN,Guineense,Guineense
GP,Guadalupense,Guadalupense
GM,Gambiano,Gambiana
GW,Guineense,Guineense
GQ,Guinéu-equatoriano,Guinéu-equatoriana
GR,Grego,Grega
GD,Granadino,Granadina
GL,Groenlandês,Groenlandesa
GT,Guatemalteco,Guatemalteca
GF,Guianense,Guianense
GU,Guamês,Guamesa
GY,Guyanês,Guyanesa
HK,"Hong Konguês","Hong Konguesa"
HM,Heardense,Heardense
HN,Hondurenho,Hondurenha
HR,Croata,Croata
HT,Haitiano,Haitiana
HU,Húngaro,Húngara
ID,Indonésio,Indonésia
IM,Manx,Manx
IN,Indiano,Indiana
IO,"Britânico do Oceano Índico","Britânica do Oceano Índico"
IE,Irlandês,Irlandesa
IR,Iraniano,Iraniana
IQ,Iraquiano,Iraquiana
IS,Islandês,Islandesa
IL,Israelense,Israelense
IT,Italiano,Italiana
JM,Jamaicano,Jamaicana
JE,Jersiano,Jersiana
JO,Jordano,Jordana
JP,Japonês,Japonesa
KZ,Cazaque,Cazaque
KE,Queniano,Queniana
KG,Quirguiz,Quirguiz
KH,Cambojano,Cambojana
KI,Kiribatiano,Kiribatiana
KN,Sãocristovense-neviense,Sãocristovense-neviense
KR,Sul-coreano,Sul-coreana
XK,Kosovar,Kosovar
KW,Kuwaitiano,Kuwaitiana
LA,Laosiano,Laosiana
