code,male,female
AW,阿鲁巴人,阿鲁巴人
AF,阿富汗人,阿富汗人
AO,安哥拉人,安哥拉人
AI,安圭拉人,安圭拉人
AX,奥兰群岛人,奥兰群岛人
AL,阿尔巴尼亚人,阿尔巴尼亚人
AD,安道尔人,安道尔人
AE,阿联酋人,阿联酋人
AR,阿根廷人,阿根廷人
AM,亚美尼亚人,亚美尼亚人
AS,萨摩亚人,萨摩亚人
AG,安提瓜和巴布达人,安提瓜和巴布达人
AU,澳大利亚人,澳大利亚人
AT,奥地利人,奥地利人
AZ,阿塞拜疆人,阿塞拜疆人
BI,布隆迪人,布隆迪人
BE,比利时人,比利时人
BJ,贝宁人,贝宁人
BF,布基纳法索人,布基纳法索人
BD,孟加拉国人,孟加拉国人
BG,保加利亚人,保加利亚人
BH,巴林人,巴林人
BS,巴哈马人,巴哈马人
BA,波斯尼亚人,波斯尼亚人
BL,圣巴泰勒米人,圣巴泰勒米人
SH,圣赫勒拿人,圣赫勒拿人
BY,白俄罗斯人,白俄罗斯人
BZ,伯利兹人,伯利兹人
BM,百慕大人,百慕大人
BO,玻利维亚人,玻利维亚人
BR,巴西人,巴西人
BB,巴巴多斯人,巴巴多斯人
BN,文莱人,文莱人
BT,不丹人,不丹人
BW,博茨瓦纳人,博茨瓦纳人
CF,中非人,中非人
CA,加拿大人,加拿大人
CC,科科斯群岛人,科科斯群岛人
CH,瑞士人,瑞士人
CL,智利人,智利人
CN,中国人,中国人
CI,科特迪瓦人,科特迪瓦人
CM,喀麦隆人,喀麦隆人
CD,刚果（金）人,刚果（金）人
CG,刚果（布）人,刚果（布）人
CK,库克群岛人,库克群岛人
CO,哥伦比亚人,哥伦比亚人
KM,科摩罗人,科摩罗人
CV,佛得角人,佛得角人
CR,哥斯达黎加人,哥斯达黎加人
CU,古巴人,古巴人
CX,圣诞岛人,圣诞岛人
KY,开曼群岛人,开曼群岛人
CY,塞浦路斯人,塞浦路斯人
CZ,捷克人,捷克人
DE,德国人,德国人
DJ,吉布提人,吉布提人
DM,多米尼克人,多米尼克人
DK,丹麦人,丹麦人
DO,多米尼加人,多米尼加人
DZ,阿尔及利亚人,阿尔及利亚人
EC,厄瓜多人,厄瓜多人
EG,埃及人,埃及人
ER,厄立特里亚人,厄立特里亚人
EH,西撒哈拉人,西撒哈拉人
ES,西班牙人,西班牙人
EE,爱沙尼亚人,爱沙尼亚人
ET,埃塞俄比亚人,埃塞俄比亚人
FI,芬兰人,芬兰人
FJ,斐济人,斐济人
FK,福克兰群岛人,福克兰群岛人
FR,法国人,法国人
FO,法罗群岛人,法罗群岛人
FM,密克罗尼西亚人,密克罗尼西亚人
GA,加蓬人,加蓬人
GB,英国人,英国人
GE,格鲁吉亚人,格鲁吉亚人
GG,根西岛人,根西岛人
GH,加纳人,加纳人
GI,直布罗陀人,直布罗陀人
GN,几内亚人,几内亚人
GP,瓜德罗普人,瓜德罗普人
GM,冈比亚人,冈比亚人
GW,几内亚比绍人,几内亚比绍人
GQ,赤道几内亚人,赤道几内亚人
GR,希腊人,希腊人
GD,格林纳达人,格林纳达人
GL,格陵兰人,格陵兰人
GT,危地马拉人,危地马拉人
GF,法属圭亚那人,法属圭亚那人
GU,关岛人,关岛人
GY,圭亚那人,圭亚那人
HK,香港人,香港人
HM,赫德岛和麦克唐纳群岛人,赫德岛和麦克唐纳群岛人
HN,洪都拉斯人,洪都拉斯人
HR,克罗地亚人,克罗地亚人
HT,海地人,海地人
HU,匈牙利人,匈牙利人
ID,印度尼西亚人,印度尼西亚人
IM,马恩岛人,马恩岛人
IN,印度人,印度人
IO,英属印度洋领地人,英属印度洋领地人
IE,爱尔兰人,爱尔兰人
IR,伊朗人,伊朗人
IQ,伊拉克人,伊拉克人
IS,冰岛人,冰岛人
IL,以色列人,以色列人
IT,意大利人,意大利人
JM,牙买加人,牙买加人
JE,泽西岛人,泽西岛人
JO,约旦人,约旦人
JP,日本人,日本人
KZ,哈萨克斯坦人,哈萨克斯坦人
KE,肯尼亚人,肯尼亚人
KG,吉尔吉斯斯坦人,吉尔吉斯斯坦人
KH,柬埔寨人,柬埔寨人
KI,基里巴斯人,基里巴斯人
KN,圣基茨和尼维斯人,圣基茨和尼维斯人
KR,韩国人,韩国人
XK,科索沃人,科索沃人
KW,科威特人,科威特人
LA,老挝人,老挝人
LB,黎巴嫩人,黎巴嫩人
LR,利比里亚人,利比里亚人
LY,利比亚人,利比亚人
LC,圣卢西亚人,圣卢西亚人
LI,列支敦士登人,列支敦士登人
LK,斯里兰卡人,斯里兰卡人
LS,莱索托人,莱索托人
LT,立陶宛人,立陶宛人
LU,卢森堡人,卢森堡人
LV,拉脱维亚人,拉脱维亚人
MO,澳门人,澳门人
MF,圣马丁人,圣马丁人
MA,摩洛哥人,摩洛哥人
MC,摩纳哥人,摩纳哥人
MD,摩尔多瓦人,摩尔多瓦人
MG,马达加斯加人,马达加斯加人
MV,马尔代夫人,马尔代夫人
MX,墨西哥人,墨西哥人
MH,马绍尔群岛人,马绍尔群岛人
MK,北马其顿人,北马其顿人
ML,马里人,马里人
MT,马耳他人,马耳他人
MM,缅甸人,缅甸人
ME,黑山人,黑山人
MN,蒙古人,蒙古人
MP,北马里亚纳人,北马里亚纳人
MZ,莫桑比克人,莫桑比克人
MR,毛里塔尼亚人,毛里塔尼亚人
MS,蒙特塞拉特人,蒙特塞拉特人
MQ,马提尼克人,马提尼克人
MU,毛里求斯人,毛里求斯人
MW,马拉维人,马拉维人
MY,马来西亚人,马来西亚人
YT,马约特人,马约特人
NA,纳米比亚人,纳米比亚人
NC,新喀里多尼亚人,新喀里多尼亚人
NE,尼日尔人,尼日尔人
NF,诺福克岛人,诺福克岛人
NG,尼日利亚人,尼日利亚人
NI,尼加拉瓜人,尼加拉瓜人
NU,纽埃人,纽埃人
NL,荷兰人,荷兰人
NO,挪威人,挪威人
NP,尼泊尔人,尼泊尔人
NR,瑙鲁人,瑙鲁人
NZ,新西兰人,新西兰人
OM,阿曼人,阿曼人
PK,巴基斯坦人,巴基斯坦人
PA,巴拿马人,巴拿马人
PN,皮特凯恩人,皮特凯恩人
PE,秘鲁人,秘鲁人
PH,菲律宾人,菲律宾人
PW,帕劳人,帕劳人
PG,巴布亚新几内亚人,巴布亚新几内亚人
PL,波兰人,波兰人
PR,波多黎各人,波多黎各人
KP,朝鲜人,朝鲜人
PT,葡萄牙人,葡萄牙人
PY,巴拉圭人,巴拉圭人
PS,巴勒斯坦人,巴勒斯坦人
PF,法属波利尼西亚人,法属波利尼西亚人
QA,卡塔尔人,卡塔尔人
RE,留尼汪人,留尼汪人
RO,罗马尼亚人,罗马尼亚人
RU,俄罗斯人,俄罗斯人
RW,卢旺达人,卢旺达人
SA,沙特阿拉伯人,沙特阿拉伯人
SD,苏丹人,苏丹人
SN,塞内加尔人,塞内加尔人
SG,新加坡人,新加坡人
GS,南乔治亚和南桑威奇群岛人,南乔治亚和南桑威奇群岛人
SJ,斯瓦尔巴和扬马延人,斯瓦尔巴和扬马延人
SB,所罗门群岛人,所罗门群岛人
SL,塞拉利昂人,塞拉利昂人
SV,萨尔瓦多人,萨尔瓦多人
SM,圣马力诺人,圣马力诺人
SO,索马里人,索马里人
PM,圣皮埃尔和密克隆人,圣皮埃尔和密克隆人
RS,塞尔维亚人,塞尔维亚人
SS,南苏丹人,南苏丹人
ST,圣多美和普林西比人,圣多美和普林西比人
SR,苏里南人,苏里南人
SK,斯洛伐克人,斯洛伐克人
SI,斯洛文尼亚人,斯洛文尼亚人
SE,瑞典人,瑞典人
SZ,斯威士兰人,斯威士兰人
SC,塞舌尔人,塞舌尔人
SY,叙利亚人,叙利亚人
TC,特克斯和凯科斯群岛人,特克斯和凯科斯群岛人
TD,乍得人,乍得人
TG,多哥人,多哥人
TH,泰国人,泰国人
TJ,塔吉克斯坦人,塔吉克斯坦人
TK,托克劳人,托克劳人
TM,土库曼斯坦人,土库曼斯坦人
TL,东帝汶人,东帝汶人
TO,汤加人,汤加人
TT,特立尼达人,特立尼达人
TN,突尼斯人,突尼斯人
TR,土耳其人,土耳其人
TV,图瓦卢人,图瓦卢人
TW,台湾人,台湾人
TZ,坦桑尼亚人,坦桑尼亚人
UG,乌干达人,乌干达人
UA,乌克兰人,乌克兰人
UM,美国本土外小岛屿人,美国本土外小岛屿人
UY,乌拉圭人,乌拉圭人
US,美国人,美国人
UZ,乌兹别克斯坦人,乌兹别克斯坦人
VA,梵蒂冈人,梵蒂冈人
VC,圣文森特和格林纳丁斯人,圣文森特和格林纳丁斯人
VE,委内瑞拉人,委内瑞拉人
VG,英属维尔京群岛人,英属维尔京群岛人
VI,美属维尔京群岛人,美属维尔京群岛人
VN,越南人,越南人
VU,瓦努阿图人,瓦努阿图人
WF,瓦利斯和富图纳人,瓦利斯和富图纳人
WS,萨摩亚人,萨摩亚人
YE,也门人,也门人
ZA,南非人,南非人
ZM,赞比亚人,赞比亚人
ZW,津巴布韦人,津巴布韦人
