code,male,female
AW,Aruban,Aruban
AF,Afghan,Afghan
AO,Angolan,Angolan
AI,Anguillian,Anguillian
AX,Ålandish,Ålandish
AL,Albanian,Albanian
AD,Andorran,Andorran
AE,Emirati,Emirati
AR,Argentine,Argentine
AM,Armenian,Armenian
AS,"American Samoan","American Samoan"
AG,"Antiguan, Barbudan","Antiguan, Barbudan"
AU,Australian,Australian
AT,Austrian,Austrian
AZ,Azerbaijani,Azerbaijani
BI,Burundian,Burundian
BE,Belgian,Belgian
BJ,Beninese,Beninese
BF,Burkinabe,Burkinabe
BD,Bangladeshi,Bangladeshi
BG,Bulgarian,Bulgarian
BH,Bahraini,Bahraini
BS,Bahamian,Bahamian
BA,"Bosnian, Herzegovinian","Bosnian, Herzegovinian"
BL,"Saint Barthélemy Islander","Saint Barthélemy Islander"
SH,"Saint Helenian","Saint Helenian"
BY,Belarusian,Belarusian
BZ,Belizean,Belizean
BM,Bermudian,Bermudian
BO,Bolivian,Bolivian
BR,Brazilian,Brazilian
BB,Barbadian,Barbadian
BN,Bruneian,Bruneian
BT,Bhutanese,Bhutanese
BW,Motswana,Motswana
CF,"Central African","Central African"
CA,Canadian,Canadian
CC,"Cocos Islander","Cocos Islander"
CH,Swiss,Swiss
CL,Chilean,Chilean
CN,Chinese,Chinese
CI,Ivorian,Ivorian
CM,Cameroonian,Cameroonian
CD,Congolese,Congolese
CG,Congolese,Congolese
CK,"Cook Islander","Cook Islander"
CO,Colombian,Colombian
KM,Comoran,Comoran
CV,"Cape Verdian","Cape Verdian"
CR,"Costa Rican","Costa Rican"
CU,Cuban,Cuban
CX,"Christmas Islander","Christmas Islander"
KY,Caymanian,Caymanian
CY,Cypriot,Cypriot
CZ,Czech,Czech
DE,German,German
DJ,Djibouti,Djibouti
DM,Dominican,Dominican
DK,Danish,Danish
DO,Dominican,Dominican
DZ,Algerian,Algerian
EC,Ecuadorean,Ecuadorean
EG,Egyptian,Egyptian
ER,Eritrean,Eritrean
EH,Sahrawi,Sahrawi
ES,Spanish,Spanish
EE,Estonian,Estonian
ET,Ethiopian,Ethiopian
FI,Finnish,Finnish
FJ,Fijian,Fijian
FK,"Falkland Islander","Falkland Islander"
FR,French,French
FO,Faroese,Faroese
FM,Micronesian,Micronesian
GA,Gabonese,Gabonese
GB,British,British
GE,Georgian,Georgian
GG,"Channel Islander","Channel Islander"
GH,Ghanaian,Ghanaian
GI,Gibraltar,Gibraltar
GN,Guinean,Guinean
GP,Guadeloupian,Guadeloupian
GM,Gambian,Gambian
GW,Guinea-Bissauan,Guinea-Bissauan
GQ,"Equatorial Guinean","Equatorial Guinean"
GR,Greek,Greek
GD,Grenadian,Grenadian
GL,Greenlandic,Greenlandic
GT,Guatemalan,Guatemalan
GF,Guianan,Guianan
GU,Guamanian,Guamanian
GY,Guyanese,Guyanese
HK,"Hong Konger","Hong Konger"
HM,"Heard and McDonald Islander","Heard and McDonald Islander"
HN,Honduran,Honduran
HR,Croatian,Croatian
HT,Haitian,Haitian
HU,Hungarian,Hungarian
ID,Indonesian,Indonesian
IM,Manx,Manx
IN,Indian,Indian
IO,Indian,Indian
IE,Irish,Irish
IR,Iranian,Iranian
IQ,Iraqi,Iraqi
IS,Icelander,Icelander
IL,Palestinian,Palestinian
