code,male,female
AW,Arubeño,Arubeña
AF,Afgano,Afgana
AO,Angoleño,Angoleña
AI,Anguilense,Anguilense
AX,Alandés,Alandesa
AL,Albanés,Albanesa
AD,Andorrano,Andorrana
AE,Emiratí,Emiratí
AR,Argentino,Argentina
AM,Armenio,Armenia
AS,"Samoano Estadounidense","Samoana Estadounidense"
AG,"Antiguano o Barbudense","Antiguana o Barbudense"
AU,Australiano,Australiana
AT,Austriaco,Austriaca
AZ,Azerbaiyano,Azerbaiyana
BI,Burundés,Burundesa
BE,Belga,Belga
BJ,Beninés,Beninesa
BF,Burkinés,Burkinesa
BD,Bangladesí,Bangladesí
BG,Búlgaro,Búlgara
BH,Bareiní,Bareiní
BS,Bahamés,Bahamesa
BA,"Bosnio o Herzegovino","Bosnia o Herzegovina"
BL,Barthélemyense,Barthélemyense
SH,"Santa Helenense","Santa Helenense"
BY,Bielorruso,Bielorrusa
BZ,Beliceño,Beliceña
BM,Bermudeño,Bermudeña
BO,Boliviano,Boliviana
BR,Brasileño,Brasileña
BB,Barbadense,Barbadense
BN,Bruneano,Bruneana
BT,Butanés,Butanesa
BW,Botsuano,Botsuana
CF,Centroafricano,Centroafricana
CA,Canadiense,Canadiense
CC,Cocosense,Cocosense
CH,Suizo,Suiza
CL,Chileno,Chilena
CN,Chino,China
CI,Marfileño,Marfileña
CM,Camerunés,Camerunesa
CD,Congoleño,Congoleña
CG,Congoleño,Congoleña
CK,Cookiano,Cookiana
CO,Colombiano,Colombiana
KM,Comorense,Comorense
CV,"Cabo Verdiano","Cabo Verdiana"
CR,Costarricense,Costarricense
CU,Cubano,Cubana
CX,Navideño,Navideña
KY,Caimánense,Caimánense
CY,Chipriota,Chipriota
CZ,Checo,Checa
DE,Alemán,Alemana
DJ,Yibutiano,Yibutiana
DM,Dominiqués,Dominiquesa
DK,Danés,Danesa
DO,Dominicano,Dominicana
DZ,Argelino,Argelina
EC,Ecuatoriano,Ecuatoriana
EG,Egipcio,Egipcia
ER,Eritreo,Eritrea
EH,Saharaui,Saharaui
ES,Español,Española
EE,Estonio,Estonia
ET,Etíope,Etíope
FI,Finlandés,Finlandesa
FJ,Fiyiano,Fiyiana
FK,Falklandés,Falklandesa
FR,Francés,Francesa
FO,Feroés,Feroesa
FM,Micronesio,Micronesia
GA,Gabonés,Gabonesa
GB,Británico,Británica
GE,Georgiano,Georgiana
GG,Guerneseyés,Guerneseyesa
GH,Ghanés,Ghanesa
GI,Gibraltareño,Gibraltareña
GN,Guineano,Guineana
GP,Guadalupeño,Guadalupeña
GM,Gambiano,Gambiana
GW,Guineano-bisauense,Guineana-bisauense
GQ,Ecuatoguineano,Ecuatoguineana
GR,Griego,Griega
GD,Granadino,Granadina
GL,Groenlandés,Groenlandesa
GT,Guatemalteco,Guatemalteca
GF,Guayanés,Guayanesa
GU,Guameño,Guameña
GY,Guyanés,Guyanesa
HK,Hongkonés,Hongkonesa
HM,"Heard y McDonaldense","Heard y McDonaldense"
HN,Hondureño,Hondureña
HR,Croata,Croata
HT,Haitiano,Haitiana
HU,Húngaro,Húngara
ID,Indonesio,Indonesia
IM,Manés,Manesa
IN,Indio,India
IO,Indio,India
IE,Irlandés,Irlandesa
IR,Iraní,Iraní
IQ,Iraquí,Iraquí
IS,Islandés,Islandesa
IL,Palestino,Palestina
IT,Italiano,Italiana
JM,Jamaicano,Jamaicana
JE,Jerseyés,Jerseyesa
JO,Jordano,Jordana
JP,Japonés,Japonesa
KZ,Kazajo,Kazaja
KE,Keniano,Keniana
KG,Kirguís,Kirguisa
KH,Camboyano,Camboyana
KI,Kiribatiano,Kiribatiana
KN,"Sancristobaleño o Nevisiano","Sancristobaleña o Nevisiana"
KR,Surcoreano,Surcoreana
XK,Kosovar,Kosovar
KW,Kuwaití,Kuwaití
LA,Laosiano,Laosiana
LB,Libanés,Libanesa
LR,Liberiano,Liberiana
LY,Libio,Libia
LC,"Santa Lucense","Santa Lucense"
LI,Liechtensteiniano,Liechtensteiniana
LK,Ceilanés,Ceilanesa
LS,Lesotense,Lesotense
LT,Lituano,Lituana
LU,Luxemburgués,Luxemburguesa
LV,Letón,Letona
MO,Macaense,Macaense
MF,Sanmartinense,Sanmartinense
MA,Marroquí,Marroquí
MC,Monegasco,Monegasca
MD,Moldavo,Moldava
MG,Malgache,Malgache
MV,Maldivo,Maldiva
MX,Mexicano,Mexicana
MH,Marshalés,Marshalés
MK,Macedonio,Macedonia
ML,Maliense,Maliense
MT,Maltés,Maltesa
MM,Birmano,Birmana
ME,Montenegrino,Montenegrina
MN,Mongol,Mongola
MP,Estadounidense,Estadounidense
MZ,Mozambiqueño,Mozambiqueña
MR,Mauritano,Mauritana
MS,Montserratense,Montserratense
MQ,Martiniqueño,Martiniqueña
MU,Mauriciano,Mauriciana
MW,Malauí,Malauí
MY,Malasio,Malasia
YT,Mahorés,Mahoresa
NA,Namibio,Namibia
NC,Neocaledonio,Neocaledonia
NE,Nigerino,Nigerina
NF,Norfolkense,Norfolkense
NG,Nigeriano,Nigeriana
NI,Nicaragüense,Nicaragüense
NU,Niuano,Niuana
NL,Neerlandés,Neerlandesa
NO,Noruego,Noruega
NP,Nepalí,Nepalí
NR,Nauruano,Nauruana
NZ,Neozelandés,Neozelandesa
OM,Omaní,Omaní
PK,Pakistaní,Pakistaní
PA,Panameño,Panameña
PN,Pitcairnés,Pitcairnesa
PE,Peruano,Peruana
PH,Filipino,Filipina
PW,Palaosiano,Palaosiana
PG,Papú,Papúa
PL,Polaco,Polaca
PR,Puertorriqueño,Puertorriqueña
KP,Norcoreano,Norcoreana
PT,Portugués,Portuguesa
PY,Paraguayo,Paraguaya
PS,Palestino,Palestina
PF,"Polinesio Francés","Polinesia Francesa"
QA,Catarí,Catarí
RE,Reunionés,Reunionesa
RO,Rumano,Rumana
RU,Ruso,Rusa
RW,Ruandés,Ruandesa
SA,Saudí,Saudí
SD,Sudanés,Sudanesa
SN,Senegalés,Senegalesa
SG,Singapurense,Singapurense
GS,"Georgiano del Sur","Georgiana del Sur"
SJ,Noruego,Noruega
SB,Salomonense,Salomonense
