code,male,female
AW,Arubais,Arubaise
AF,Afghan,Afghane
AO,Angolais,Angolaise
AI,Anguillan,Anguillane
AX,Ålandais,Ålandaise
AL,Albanais,Albanaise
AD,Andorran,Andorrane
AE,Emirien,Emirienne
AR,Argentin,Argentine
AM,Arménien,Arménienne
AS,Samoan,Samoane
AG,"Antiguaise et barbudien","Antiguaise et barbudienne"
AU,Australien,Australienne
AT,Autrichien,Autrichienne
AZ,Azerbaïdjanais,Azerbaïdjanaise
BI,Burundais,Burundaise
BE,Belge,Belge
BJ,Béninois,Béninoise
BF,Burkinabé,Burkinabée
BD,Bangladais,Bangladaise
BG,Bulgare,Bulgare
BH,Bahreïnien,Bahreïnienne
BS,Bahamien,Bahamienne
BA,Bosnien,Bosnienne
BL,Barthéloméen,Barthéloméenne
SH,Sainte-Hélènois,Sainte-Hélénoise
BY,Biélorusse,Biélorusse
BZ,Bélizien,Bélizienne
BM,Bermudien,Bermudienne
BO,Bolivien,Bolivienne
BR,Brésilien,Brésilienne
BB,Barbadien,Barbadienne
BN,Brunéien,Brunéienne
BT,Bhoutanais,Bhoutanaise
BW,Botswanais,Botswanaise
CF,Centrafricain,Centrafricaine
CA,Canadien,Canadienne
CC,Cocossien,Cocossienne
CH,Suisse,Suisse
CL,Chilien,Chilienne
CN,Chinois,Chinoise
CI,Ivoirien,Ivoirienne
CM,Camerounais,Camerounaise
CD,Congolais,Congolaise
CG,Congolais,Congolaise
CK,Cookien,Cookienne
CO,Colombien,Colombienne
KM,Comorien,Comorienne
CV,Cap-verdien,Cap-verdienne
CR,Costaricain,Costaricaine
CU,Cubain,Cubaine
CX,Christmasien,Christmasienne
KY,Caïmanien,Caïmanienne
CY,Chypriote,Chypriote
CZ,Tchèque,Tchèque
DE,Allemand,Allemande
DJ,Djiboutien,Djiboutienne
DM,Dominiquais,Dominiquaise
DK,Danois,Danoise
DO,Dominicain,Dominicaine
DZ,Algérien,Algérienne
EC,Équatorien,Équatorienne
