name,dst,offset,label_text,label_operator,label_hours,label_minutes
Africa/Abidjan,No,0,(UTC+00:00),+,0,0
Africa/Accra,No,0,(UTC+00:00),+,0,0
Africa/Bamako,No,0,(UTC+00:00),+,0,0
Africa/Banjul,No,0,(UTC+00:00),+,0,0
Africa/Bissau,No,0,(UTC+00:00),+,0,0
Africa/Conakry,No,0,(UTC+00:00),+,0,0
Africa/Dakar,No,0,(UTC+00:00),+,0,0
Africa/Freetown,No,0,(UTC+00:00),+,0,0
Africa/Lome,No,0,(UTC+00:00),+,0,0
Africa/Monrovia,No,0,(UTC+00:00),+,0,0
Africa/Nouakchott,No,0,(UTC+00:00),+,0,0
Africa/Ouagadougou,No,0,(UTC+00:00),+,0,0
Africa/Sao_Tome,No,0,(UTC+00:00),+,0,0
Africa/Algiers,No,3600,(UTC+01:00),+,1,0
Africa/Bangui,No,3600,(UTC+01:00),+,1,0
Africa/Brazzaville,No,3600,(UTC+01:00),+,1,0
Africa/Casablanca,Yes,3600,(UTC+01:00),+,1,0
Africa/Douala,No,3600,(UTC+01:00),+,1,0
Africa/El_Aaiun,Yes,3600,(UTC+01:00),+,1,0
Africa/Kinshasa,No,3600,(UTC+01:00),+,1,0
Africa/Lagos,No,3600,(UTC+01:00),+,1,0
Africa/Libreville,No,3600,(UTC+01:00),+,1,0
Africa/Luanda,No,3600,(UTC+01:00),+,1,0
Africa/Malabo,No,3600,(UTC+01:00),+,1,0
Africa/Ndjamena,No,3600,(UTC+01:00),+,1,0
Africa/Niamey,No,3600,(UTC+01:00),+,1,0
Africa/Porto-Novo,No,3600,(UTC+01:00),+,1,0
Africa/Tunis,No,3600,(UTC+01:00),+,1,0
Africa/Blantyre,No,7200,(UTC+02:00),+,2,0
Africa/Bujumbura,No,7200,(UTC+02:00),+,2,0
Africa/Ceuta,Yes,7200,(UTC+02:00),+,2,0
Africa/Gaborone,No,7200,(UTC+02:00),+,2,0
Africa/Harare,No,7200,(UTC+02:00),+,2,0
Africa/Johannesburg,No,7200,(UTC+02:00),+,2,0
Africa/Juba,No,7200,(UTC+02:00),+,2,0
Africa/Khartoum,No,7200,(UTC+02:00),+,2,0
Africa/Kigali,No,7200,(UTC+02:00),+,2,0
Africa/Lubumbashi,No,7200,(UTC+02:00),+,2,0
Africa/Lusaka,No,7200,(UTC+02:00),+,2,0
Africa/Maputo,No,7200,(UTC+02:00),+,2,0
Africa/Maseru,No,7200,(UTC+02:00),+,2,0
Africa/Mbabane,No,7200,(UTC+02:00),+,2,0
Africa/Tripoli,No,7200,(UTC+02:00),+,2,0
Africa/Windhoek,No,7200,(UTC+02:00),+,2,0
Africa/Addis_Ababa,No,10800,(UTC+03:00),+,3,0
Africa/Asmara,No,10800,(UTC+03:00),+,3,0
Africa/Cairo,Yes,10800,(UTC+03:00),+,3,0
Africa/Dar_es_Salaam,No,10800,(UTC+03:00),+,3,0
Africa/Djibouti,No,10800,(UTC+03:00),+,3,0
Africa/Kampala,No,10800,(UTC+03:00),+,3,0
Africa/Mogadishu,No,10800,(UTC+03:00),+,3,0
Africa/Nairobi,No,10800,(UTC+03:00),+,3,0
