name,dst,offset,label_text,label_operator,label_hours,label_minutes
America/Adak,Yes,-32400,(UTC-09:00),-,9,0
America/Anchorage,Yes,-28800,(UTC-08:00),-,8,0
America/Juneau,Yes,-28800,(UTC-08:00),-,8,0
America/Metlakatla,Yes,-28800,(UTC-08:00),-,8,0
America/Nome,Yes,-28800,(UTC-08:00),-,8,0
America/Sitka,Yes,-28800,(UTC-08:00),-,8,0
America/Yakutat,Yes,-28800,(UTC-08:00),-,8,0
America/Creston,No,-25200,(UTC-07:00),-,7,0
America/Dawson,No,-25200,(UTC-07:00),-,7,0
America/Dawson_Creek,No,-25200,(UTC-07:00),-,7,0
America/Fort_Nelson,No,-25200,(UTC-07:00),-,7,0
America/Hermosillo,No,-25200,(UTC-07:00),-,7,0
America/Los_Angeles,Yes,-25200,(UTC-07:00),-,7,0
America/Mazatlan,No,-25200,(UTC-07:00),-,7,0
America/Phoenix,No,-25200,(UTC-07:00),-,7,0
America/Tijuana,Yes,-25200,(UTC-07:00),-,7,0
America/Vancouver,Yes,-25200,(UTC-07:00),-,7,0
America/Whitehorse,No,-25200,(UTC-07:00),-,7,0
America/Bahia_Banderas,No,-21600,(UTC-06:00),-,6,0
America/Belize,No,-21600,(UTC-06:00),-,6,0
America/Boise,Yes,-21600,(UTC-06:00),-,6,0
America/Cambridge_Bay,Yes,-21600,(UTC-06:00),-,6,0
America/Chihuahua,No,-21600,(UTC-06:00),-,6,0
America/Ciudad_Juarez,Yes,-21600,(UTC-06:00),-,6,0
America/Costa_Rica,No,-21600,(UTC-06:00),-,6,0
America/Denver,Yes,-21600,(UTC-06:00),-,6,0
America/Edmonton,Yes,-21600,(UTC-06:00),-,6,0
America/El_Salvador,No,-21600,(UTC-06:00),-,6,0
America/Guatemala,No,-21600,(UTC-06:00),-,6,0
America/Inuvik,Yes,-21600,(UTC-06:00),-,6,0
America/Managua,No,-21600,(UTC-06:00),-,6,0
America/Merida,No,-21600,(UTC-06:00),-,6,0
America/Mexico_City,No,-21600,(UTC-06:00),-,6,0
America/Monterrey,No,-21600,(UTC-06:00),-,6,0
America/Regina,No,-21600,(UTC-06:00),-,6,0
America/Swift_Current,No,-21600,(UTC-06:00),-,6,0
America/Tegucigalpa,No,-21600,(UTC-06:00),-,6,0
America/Atikokan,No,-18000,(UTC-05:00),-,5,0
America/Bogota,No,-18000,(UTC-05:00),-,5,0
America/Cancun,No,-18000,(UTC-05:00),-,5,0
America/Cayman,No,-18000,(UTC-05:00),-,5,0
America/Chicago,Yes,-18000,(UTC-05:00),-,5,0
America/Eirunepe,No,-18000,(UTC-05:00),-,5,0
America/Guayaquil,No,-18000,(UTC-05:00),-,5,0
America/Indiana/Knox,Yes,-18000,(UTC-05:00),-,5,0
America/Indiana/Tell_City,Yes,-18000,(UTC-05:00),-,5,0
America/Jamaica,No,-18000,(UTC-05:00),-,5,0
America/Lima,No,-18000,(UTC-05:00),-,5,0
America/Matamoros,Yes,-18000,(UTC-05:00),-,5,0
America/Menominee,Yes,-18000,(UTC-05:00),-,5,0
America/North_Dakota/Beulah,Yes,-18000,(UTC-05:00),-,5,0
America/North_Dakota/Center,Yes,-18000,(UTC-05:00),-,5,0
America/North_Dakota/New_Salem,Yes,-18000,(UTC-05:00),-,5,0
America/Ojinaga,Yes,-18000,(UTC-05:00),-,5,0
America/Panama,No,-18000,(UTC-05:00),-,5,0
America/Rankin_Inlet,Yes,-18000,(UTC-05:00),-,5,0
America/Resolute,Yes,-18000,(UTC-05:00),-,5,0
America/Rio_Branco,No,-18000,(UTC-05:00),-,5,0
America/Winnipeg,Yes,-18000,(UTC-05:00),-,5,0
America/Anguilla,No,-14400,(UTC-04:00),-,4,0
America/Antigua,No,-14400,(UTC-04:00),-,4,0
America/Aruba,No,-14400,(UTC-04:00),-,4,0
America/Barbados,No,-14400,(UTC-04:00),-,4,0
America/Blanc-Sablon,No,-14400,(UTC-04:00),-,4,0
America/Boa_Vista,No,-14400,(UTC-04:00),-,4,0
America/Campo_Grande,No,-14400,(UTC-04:00),-,4,0
America/Caracas,No,-14400,(UTC-04:00),-,4,0
America/Cuiaba,No,-14400,(UTC-04:00),-,4,0
America/Curacao,No,-14400,(UTC-04:00),-,4,0
America/Detroit,Yes,-14400,(UTC-04:00),-,4,0
America/Dominica,No,-14400,(UTC-04:00),-,4,0
America/Grand_Turk,Yes,-14400,(UTC-04:00),-,4,0
America/Grenada,No,-14400,(UTC-04:00),-,4,0
America/Guadeloupe,No,-14400,(UTC-04:00),-,4,0
America/Guyana,No,-14400,(UTC-04:00),-,4,0
America/Havana,Yes,-14400,(UTC-04:00),-,4,0
America/Indiana/Indianapolis,Yes,-14400,(UTC-04:00),-,4,0
America/Indiana/Marengo,Yes,-14400,(UTC-04:00),-,4,0
America/Indiana/Petersburg,Yes,-14400,(UTC-04:00),-,4,0
America/Indiana/Vevay,Yes,-14400,(UTC-04:00),-,4,0
America/Indiana/Vincennes,Yes,-14400,(UTC-04:00),-,4,0
America/Indiana/Winamac,Yes,-14400,(UTC-04:00),-,4,0
America/Iqaluit,Yes,-14400,(UTC-04:00),-,4,0
America/Kentucky/Louisville,Yes,-14400,(UTC-04:00),-,4,0
America/Kentucky/Monticello,Yes,-14400,(UTC-04:00),-,4,0
America/Kralendijk,No,-14400,(UTC-04:00),-,4,0
America/La_Paz,No,-14400,(UTC-04:00),-,4,0
America/Lower_Princes,No,-14400,(UTC-04:00),-,4,0
America/Manaus,No,-14400,(UTC-04:00),-,4,0
America/Marigot,No,-14400,(UTC-04:00),-,4,0
America/Martinique,No,-14400,(UTC-04:00),-,4,0
America/Montserrat,No,-14400,(UTC-04:00),-,4,0
America/Nassau,Yes,-14400,(UTC-04:00),-,4,0
America/New_York,Yes,-14400,(UTC-04:00),-,4,0
America/Port-au-Prince,Yes,-14400,(UTC-04:00),-,4,0
America/Port_of_Spain,No,-14400,(UTC-04:00),-,4,0
America/Porto_Velho,No,-14400,(UTC-04:00),-,4,0
America/Puerto_Rico,No,-14400,(UTC-04:00),-,4,0
America/Santo_Domingo,No,-14400,(UTC-04:00),-,4,0
