name,dst,offset,label_text,label_operator,label_hours,label_minutes
Europe/Dublin,Yes,3600,(UTC+01:00),+,1,0
Europe/Guernsey,Yes,3600,(UTC+01:00),+,1,0
Europe/Isle_of_Man,Yes,3600,(UTC+01:00),+,1,0
Europe/Jersey,Yes,3600,(UTC+01:00),+,1,0
Europe/Lisbon,Yes,3600,(UTC+01:00),+,1,0
Europe/London,Yes,3600,(UTC+01:00),+,1,0
Europe/Amsterdam,Yes,7200,(UTC+02:00),+,2,0
Europe/Andorra,Yes,7200,(UTC+02:00),+,2,0
Europe/Belgrade,Yes,7200,(UTC+02:00),+,2,0
Europe/Berlin,Yes,7200,(UTC+02:00),+,2,0
Europe/Bratislava,Yes,7200,(UTC+02:00),+,2,0
Europe/Brussels,Yes,7200,(UTC+02:00),+,2,0
Europe/Budapest,Yes,7200,(UTC+02:00),+,2,0
Europe/Busingen,Yes,7200,(UTC+02:00),+,2,0
Europe/Copenhagen,Yes,7200,(UTC+02:00),+,2,0
Europe/Gibraltar,Yes,7200,(UTC+02:00),+,2,0
Europe/Kaliningrad,No,7200,(UTC+02:00),+,2,0
Europe/Ljubljana,Yes,7200,(UTC+02:00),+,2,0
Europe/Luxembourg,Yes,7200,(UTC+02:00),+,2,0
Europe/Madrid,Yes,7200,(UTC+02:00),+,2,0
Europe/Malta,Yes,7200,(UTC+02:00),+,2,0
Europe/Monaco,Yes,7200,(UTC+02:00),+,2,0
Europe/Oslo,Yes,7200,(UTC+02:00),+,2,0
Europe/Paris,Yes,7200,(UTC+02:00),+,2,0
Europe/Podgorica,Yes,7200,(UTC+02:00),+,2,0
Europe/Prague,Yes,7200,(UTC+02:00),+,2,0
Europe/Rome,Yes,7200,(UTC+02:00),+,2,0
Europe/San_Marino,Yes,7200,(UTC+02:00),+,2,0
Europe/Sarajevo,Yes,7200,(UTC+02:00),+,2,0
Europe/Skopje,Yes,7200,(UTC+02:00),+,2,0
Europe/Stockholm,Yes,7200,(UTC+02:00),+,2,0
Europe/Tirane,Yes,7200,(UTC+02:00),+,2,0
Europe/Vaduz,Yes,7200,(UTC+02:00),+,2,0
Europe/Vatican,Yes,7200,(UTC+02:00),+,2,0
Europe/Vienna,Yes,7200,(UTC+02:00),+,2,0
Europe/Warsaw,Yes,7200,(UTC+02:00),+,2,0
Europe/Zagreb,Yes,7200,(UTC+02:00),+,2,0
Europe/Zurich,Yes,7200,(UTC+02:00),+,2,0
Europe/Athens,Yes,10800,(UTC+03:00),+,3,0
Europe/Bucharest,Yes,10800,(UTC+03:00),+,3,0
Europe/Chisinau,Yes,10800,(UTC+03:00),+,3,0
Europe/Helsinki,Yes,10800,(UTC+03:00),+,3,0
Europe/Istanbul,No,10800,(UTC+03:00),+,3,0
Europe/Kirov,No,10800,(UTC+03:00),+,3,0
Europe/Kyiv,Yes,10800,(UTC+03:00),+,3,0
Europe/Mariehamn,Yes,10800,(UTC+03:00),+,3,0
Europe/Minsk,No,10800,(UTC+03:00),+,3,0
Europe/Moscow,No,10800,(UTC+03:00),+,3,0
Europe/Riga,Yes,10800,(UTC+03:00),+,3,0
Europe/Simferopol,No,10800,(UTC+03:00),+,3,0
Europe/Sofia,Yes,10800,(UTC+03:00),+,3,0
Europe/Tallinn,Yes,10800,(UTC+03:00),+,3,0
Europe/Vilnius,Yes,10800,(UTC+03:00),+,3,0
Europe/Volgograd,No,10800,(UTC+03:00),+,3,0
Europe/Astrakhan,No,14400,(UTC+04:00),+,4,0
Europe/Samara,No,14400,(UTC+04:00),+,4,0
Europe/Saratov,No,14400,(UTC+04:00),+,4,0
Europe/Ulyanovsk,No,14400,(UTC+04:00),+,4,0
