name,dst,offset,label_text,label_operator,label_hours,label_minutes
Pacific/Midway,No,-39600,(UTC-11:00),-,11,0
Pacific/Niue,No,-39600,(UTC-11:00),-,11,0
Pacific/Pago_Pago,No,-39600,(UTC-11:00),-,11,0
Pacific/Honolulu,No,-36000,(UTC-10:00),-,10,0
Pacific/Rarotonga,No,-36000,(UTC-10:00),-,10,0
Pacific/Tahiti,No,-36000,(UTC-10:00),-,10,0
Pacific/Marquesas,No,-34200,(UTC-09:30),-,9,30
Pacific/Gambier,No,-32400,(UTC-09:00),-,9,0
Pacific/Pitcairn,No,-28800,(UTC-08:00),-,8,0
Pacific/Galapagos,No,-21600,(UTC-06:00),-,6,0
Pacific/Easter,Yes,-18000,(UTC-05:00),-,5,0
Pacific/Palau,No,32400,(UTC+09:00),+,9,0
Pacific/Chuuk,No,36000,(UTC+10:00),+,10,0
Pacific/Guam,No,36000,(UTC+10:00),+,10,0
Pacific/Port_Moresby,No,36000,(UTC+10:00),+,10,0
Pacific/Saipan,No,36000,(UTC+10:00),+,10,0
Pacific/Bougainville,No,39600,(UTC+11:00),+,11,0
Pacific/Efate,No,39600,(UTC+11:00),+,11,0
Pacific/Guadalcanal,No,39600,(UTC+11:00),+,11,0
Pacific/Kosrae,No,39600,(UTC+11:00),+,11,0
Pacific/Norfolk,No,39600,(UTC+11:00),+,11,0
Pacific/Noumea,No,39600,(UTC+11:00),+,11,0
Pacific/Pohnpei,No,39600,(UTC+11:00),+,11,0
Pacific/Auckland,No,43200,(UTC+12:00),+,12,0
Pacific/Fiji,No,43200,(UTC+12:00),+,12,0
Pacific/Funafuti,No,43200,(UTC+12:00),+,12,0
Pacific/Kwajalein,No,43200,(UTC+12:00),+,12,0
Pacific/Majuro,No,43200,(UTC+12:00),+,12,0
Pacific/Nauru,No,43200,(UTC+12:00),+,12,0
Pacific/Tarawa,No,43200,(UTC+12:00),+,12,0
Pacific/Wake,No,43200,(UTC+12:00),+,12,0
Pacific/Wallis,No,43200,(UTC+12:00),+,12,0
Pacific/Chatham,No,45900,(UTC+12:45),+,12,45
Pacific/Apia,No,46800,(UTC+13:00),+,13,0
Pacific/Fakaofo,No,46800,(UTC+13:00),+,13,0
Pacific/Kanton,No,46800,(UTC+13:00),+,13,0
Pacific/Tongatapu,No,46800,(UTC+13:00),+,13,0
Pacific/Kiritimati,No,50400,(UTC+14:00),+,14,0
